raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
33,42,Aichi,2018.11.23,16.805723
54,42,Aichi,2018.11.24,27.500273
43,50,Aichi,2018.11.25,23.449755
66,50,Aichi,2018.11.26,35.992649
22,50,Aichi,2018.11.27,11.997549
93,50,Aichi,2018.11.28,50.716911
78,50,Aichi,2018.11.29,42.536766
73,50,Aichi,2018.11.30,39.810051
33,50,Aichi,2018.12.01,17.996325
29,39,Aichi,2018.12.02,15.438496
58,39,Aichi,2018.12.03,30.876991
65,39,Aichi,2018.12.04,34.603523
57,39,Aichi,2018.12.05,30.344631
40,39,Aichi,2018.12.06,21.294476
31,39,Aichi,2018.12.07,16.50322
46,39,Aichi,2018.12.08,24.488647
37,35,Aichi,2018.12.09,18.894262
54,35,Aichi,2018.12.10,27.575409
47,35,Aichi,2018.12.11,24.000818
47,35,Aichi,2018.12.12,24.000818
64,35,Aichi,2018.12.13,32.681965
44,35,Aichi,2018.12.14,22.468851
12,35,Aichi,2018.12.15,6.1278687
34,41,Aichi,2018.12.16,17.723713
69,41,Aichi,2018.12.17,35.968712
64,41,Aichi,2018.12.18,33.362286
28,41,Aichi,2018.12.19,14.595999
59,41,Aichi,2018.12.20,30.755857
51,41,Aichi,2018.12.21,26.585571
45,41,Aichi,2018.12.22,23.457857
37,41,Aichi,2018.12.23,20.83534
50,41,Aichi,2018.12.24,28.155865
67,41,Aichi,2018.12.25,37.728859
43,41,Aichi,2018.12.26,24.214045
43,41,Aichi,2018.12.27,24.214045
52,41,Aichi,2018.12.28,29.282099
32,41,Aichi,2018.12.29,18.019753
18,50,Aichi,2018.12.30,18.627907
19,50,Aichi,2018.12.31,19.66279
29,50,Aichi,2019.01.01,30.011629
49,50,Aichi,2019.01.02,50.709305
37,50,Aichi,2019.01.03,38.290699
26,50,Aichi,2019.01.04,26.906979
37,50,Aichi,2019.01.05,38.290699
26,45,Aichi,2019.01.06,25.522058
27,45,Aichi,2019.01.07,26.503675
33,45,Aichi,2019.01.08,32.393383
25,45,Aichi,2019.01.09,24.540442
42,45,Aichi,2019.01.10,41.22794
27,45,Aichi,2019.01.11,26.503675
24,45,Aichi,2019.01.12,23.558823
34,50,Aichi,2019.01.13,32.607758
41,50,Aichi,2019.01.14,39.321121
24,50,Aichi,2019.01.15,23.017242
27,50,Aichi,2019.01.16,25.894398
45,50,Aichi,2019.01.17,43.157326
29,50,Aichi,2019.01.18,27.8125
32,50,Aichi,2019.01.19,30.689655
20,38,Aichi,2019.01.20,21.006208
22,38,Aichi,2019.01.21,23.106831
25,38,Aichi,2019.01.22,26.257763
29,38,Aichi,2019.01.23,30.459005
33,38,Aichi,2019.01.24,34.660244
8,38,Aichi,2019.01.25,8.4024839
24,38,Aichi,2019.01.26,25.207451
31,44,Aichi,2019.01.27,29.75392
31,44,Aichi,2019.01.28,29.75392
26,44,Aichi,2019.01.29,24.954901
27,44,Aichi,2019.01.30,25.914705
36,44,Aichi,2019.01.31,34.55294
24,44,Aichi,2019.02.01,23.035294
29,44,Aichi,2019.02.02,27.834312
33,39,Aichi,2019.02.03,32.540623
24,39,Aichi,2019.02.04,23.665909
20,39,Aichi,2019.02.05,19.72159
30,39,Aichi,2019.02.06,29.582386
28,39,Aichi,2019.02.07,27.610228
20,39,Aichi,2019.02.08,19.72159
21,39,Aichi,2019.02.09,20.70767
27,40,Aichi,2019.02.10,25.978376
15,40,Aichi,2019.02.11,14.432431
30,40,Aichi,2019.02.12,28.864862
28,40,Aichi,2019.02.13,26.940538
31,40,Aichi,2019.02.14,29.827026
21,40,Aichi,2019.02.15,20.205404
33,40,Aichi,2019.02.16,31.751348
17,37,Aichi,2019.02.17,16.760778
14,37,Aichi,2019.02.18,13.802993
14,37,Aichi,2019.02.19,13.802993
31,37,Aichi,2019.02.20,30.56377
24,37,Aichi,2019.02.21,23.662275
34,37,Aichi,2019.02.22,33.521557
33,37,Aichi,2019.02.23,32.535629
36,86,Aichi,2019.02.24,36.641487
53,86,Aichi,2019.02.25,53.944416
72,86,Aichi,2019.02.26,73.282974
38,86,Aichi,2019.02.27,38.677128
38,86,Aichi,2019.02.28,38.677128
54,86,Aichi,2019.03.01,54.962234
85,86,Aichi,2019.03.02,86.514626
51,100,Aichi,2019.03.03,50.999996
37,100,Aichi,2019.03.04,37
100,100,Aichi,2019.03.05,100
65,100,Aichi,2019.03.06,65
75,100,Aichi,2019.03.07,74.999992
62,100,Aichi,2019.03.08,62
55,100,Aichi,2019.03.09,54.999996
47,63,Aichi,2019.03.10,44.21627
22,63,Aichi,2019.03.11,20.696978
39,63,Aichi,2019.03.12,36.690098
63,63,Aichi,2019.03.13,59.26862
58,63,Aichi,2019.03.14,54.564758
37,63,Aichi,2019.03.15,34.808556
32,63,Aichi,2019.03.16,30.104694
31,62,Aichi,2019.03.17,31.329304
48,62,Aichi,2019.03.18,48.509888
43,62,Aichi,2019.03.19,43.456779
44,62,Aichi,2019.03.20,44.467396
19,62,Aichi,2019.03.21,19.20183
34,62,Aichi,2019.03.22,34.361172
54,62,Aichi,2019.03.23,54.573624
34,58,Aichi,2019.03.24,33.24015
39,58,Aichi,2019.03.25,38.128407
47,58,Aichi,2019.03.26,45.949619
30,58,Aichi,2019.03.27,29.329544
47,58,Aichi,2019.03.28,45.949619
24,58,Aichi,2019.03.29,23.463634
43,58,Aichi,2019.03.30,42.039013
12,43,Aichi,2019.03.31,11.836082
23,43,Aichi,2019.04.01,22.685825
14,43,Aichi,2019.04.02,13.808764
16,43,Aichi,2019.04.03,15.781444
23,43,Aichi,2019.04.04,22.685825
45,43,Aichi,2019.04.05,44.385307
61,43,Aichi,2019.04.06,60.166752
39,52,Aichi,2019.04.07,38.566666
