date,鼻水_trend,prefecture
2019-10-28,15.765985749102343,Hokkaido
2019-10-29,15.540757381258025,Hokkaido
2019-10-30,7.882992874551172,Hokkaido
2019-10-31,11.711875127904598,Hokkaido
2019-11-01,4.054110621197745,Hokkaido
2019-11-02,7.432536138862533,Hokkaido
2019-11-03,31.285540015475828,Hokkaido
2019-11-04,0.0,Hokkaido
2019-11-05,54.43683962692795,Hokkaido
2019-11-06,11.262794405571299,Hokkaido
2019-11-07,32.536961616094864,Hokkaido
2019-11-08,0.0,Hokkaido
2019-11-09,43.799756021666155,Hokkaido
2019-11-10,24.35436417129781,Hokkaido
2019-11-11,24.35436417129781,Hokkaido
2019-11-12,24.35436417129781,Hokkaido
2019-11-13,24.35436417129781,Hokkaido
2019-11-14,0.0,Hokkaido
2019-11-15,73.06309251389342,Hokkaido
2019-11-16,0.0,Hokkaido
2019-11-17,28.032626388921656,Hokkaido
2019-11-18,41.62420281991397,Hokkaido
2019-11-19,58.61367335865436,Hokkaido
2019-11-20,15.290523484866355,Hokkaido
2019-11-21,29.731573442795696,Hokkaido
2019-11-22,15.290523484866355,Hokkaido
2019-11-23,58.61367335865436,Hokkaido
2019-11-24,8.90673889693177,Hokkaido
2019-11-25,30.06024377714473,Hokkaido
2019-11-26,0.0,Hokkaido
2019-11-27,38.41031149301826,Hokkaido
2019-11-28,0.0,Hokkaido
2019-11-29,49.54373511418297,Hokkaido
2019-11-30,9.463410077990005,Hokkaido
2019-12-01,18.43892187141615,Hokkaido
2019-12-02,19.591354488379658,Hokkaido
2019-12-03,20.74378710534317,Hokkaido
2019-12-04,0.0,Hokkaido
2019-12-05,21.89621972230668,Hokkaido
2019-12-06,42.64000682764985,Hokkaido
2019-12-07,41.48757421068634,Hokkaido
2019-12-08,19.40429015274134,Hokkaido
2019-12-09,38.25417201540436,Hokkaido
2019-12-10,40.471805175717655,Hokkaido
2019-12-11,9.424940931331511,Hokkaido
2019-12-12,0.0,Hokkaido
2019-12-13,19.40429015274134,Hokkaido
2019-12-14,9.424940931331511,Hokkaido
2019-12-15,0.0,Hokkaido
2019-12-16,24.11082052958483,Hokkaido
2019-12-17,69.65348152991173,Hokkaido
2019-12-18,0.0,Hokkaido
2019-12-19,24.11082052958483,Hokkaido
2019-12-20,24.11082052958483,Hokkaido
2019-12-21,45.5426610003269,Hokkaido
2019-12-22,9.113740051523395,Hokkaido
2019-12-23,28.413424866514113,Hokkaido
2019-12-24,0.0,Hokkaido
2019-12-25,19.299684814990716,Hokkaido
2019-12-26,19.299684814990716,Hokkaido
2019-12-27,27.877322510542147,Hokkaido
2019-12-28,9.649842407495358,Hokkaido
2019-12-29,31.08287118849266,Hokkaido
2019-12-30,29.909932653077842,Hokkaido
2019-12-31,18.767016566637075,Hokkaido
2020-01-01,29.909932653077842,Hokkaido
2020-01-02,18.767016566637075,Hokkaido
2020-01-03,36.361094597859335,Hokkaido
2020-01-04,0.0,Hokkaido
2020-01-05,13.63844393592677,Hokkaido
2020-01-06,0.0,Hokkaido
2020-01-07,13.63844393592677,Hokkaido
2020-01-08,20.457665903890156,Hokkaido
2020-01-09,0.0,Hokkaido
2020-01-10,6.819221967963385,Hokkaido
2020-01-11,13.63844393592677,Hokkaido
2020-01-12,16.18607461496927,Hokkaido
2020-01-13,0.0,Hokkaido
2020-01-14,28.636901241868717,Hokkaido
2020-01-15,0.0,Hokkaido
2020-01-16,49.80330650759777,Hokkaido
2020-01-17,0.0,Hokkaido
2020-01-18,16.18607461496927,Hokkaido
2020-01-19,12.775359451259726,Hokkaido
2020-01-20,39.308798311568395,Hokkaido
2020-01-21,0.0,Hokkaido
2020-01-22,0.0,Hokkaido
2020-01-23,26.533438860308667,Hokkaido
2020-01-24,39.308798311568395,Hokkaido
2020-01-25,12.775359451259726,Hokkaido
2020-01-26,12.128715689288113,Hokkaido
2020-01-27,38.252103327754824,Hokkaido
2020-01-28,0.0,Hokkaido
2020-01-29,38.252103327754824,Hokkaido
2020-01-30,25.190409508521466,Hokkaido
2020-01-31,37.319125197809576,Hokkaido
2020-02-01,36.386147067864336,Hokkaido
2020-02-02,5.205949656750572,Hokkaido
2020-02-03,0.0,Hokkaido
2020-02-04,16.418764302059497,Hokkaido
2020-02-05,5.606407322654462,Hokkaido
2020-02-06,0.0,Hokkaido
2020-02-07,16.418764302059497,Hokkaido
2020-02-08,16.018306636155604,Hokkaido
2020-02-09,51.1441647597254,Hokkaido
2020-02-10,40.32520682978348,Hokkaido
2020-02-11,24.588540749867978,Hokkaido
2020-02-12,25.5720823798627,Hokkaido
2020-02-13,0.0,Hokkaido
2020-02-14,38.35812356979405,Hokkaido
2020-02-15,24.588540749867978,Hokkaido
2020-02-16,11.880177644535515,Hokkaido
2020-02-17,52.47078459669853,Hokkaido
2020-02-18,77.22115468948087,Hokkaido
2020-02-19,12.870192448246808,Hokkaido
2020-02-20,53.46079940040983,Hokkaido
2020-02-21,12.870192448246808,Hokkaido
2020-02-22,63.36094743752275,Hokkaido
2020-02-23,20.261250953470633,Hokkaido
2020-02-24,20.261250953470633,Hokkaido
2020-02-25,10.53585049580473,Hokkaido
2020-02-26,81.04500381388253,Hokkaido
2020-02-27,60.7837528604119,Hokkaido
2020-02-28,19.450800915331808,Hokkaido
2020-02-29,29.176201372997713,Hokkaido
