raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
22,46,Aichi,2019.01.06,22.011002
27,46,Aichi,2019.01.07,27.0135
36,46,Aichi,2019.01.08,36.017998
28,46,Aichi,2019.01.09,28.014002
39,46,Aichi,2019.01.10,39.019501
26,46,Aichi,2019.01.11,26.013
22,46,Aichi,2019.01.12,22.011002
32,50,Aichi,2019.01.13,32.372093
37,50,Aichi,2019.01.14,37.430233
23,50,Aichi,2019.01.15,23.267441
26,50,Aichi,2019.01.16,26.302328
40,50,Aichi,2019.01.17,40.465118
25,50,Aichi,2019.01.18,25.290699
32,50,Aichi,2019.01.19,32.372093
21,38,Aichi,2019.01.20,21.560869
23,38,Aichi,2019.01.21,23.614286
25,38,Aichi,2019.01.22,25.667702
25,38,Aichi,2019.01.23,25.667702
35,38,Aichi,2019.01.24,35.93478
10,38,Aichi,2019.01.25,10.26708
22,38,Aichi,2019.01.26,22.587576
29,44,Aichi,2019.01.27,28.464617
33,44,Aichi,2019.01.28,32.39077
25,44,Aichi,2019.01.29,24.538462
25,44,Aichi,2019.01.30,24.538462
34,44,Aichi,2019.01.31,33.372307
23,44,Aichi,2019.02.01,22.575384
26,44,Aichi,2019.02.02,25.519999
33,39,Aichi,2019.02.03,32.932056
24,39,Aichi,2019.02.04,23.950588
17,39,Aichi,2019.02.05,16.965
30,39,Aichi,2019.02.06,29.938234
25,39,Aichi,2019.02.07,24.948528
21,39,Aichi,2019.02.08,20.956764
20,39,Aichi,2019.02.09,19.958822
23,41,Aichi,2019.02.10,23.849129
14,41,Aichi,2019.02.11,14.51686
29,41,Aichi,2019.02.12,30.070639
29,41,Aichi,2019.02.13,30.070639
29,41,Aichi,2019.02.14,30.070639
21,41,Aichi,2019.02.15,21.77529
27,41,Aichi,2019.02.16,27.996803
16,37,Aichi,2019.02.17,16.196228
13,37,Aichi,2019.02.18,13.159434
13,37,Aichi,2019.02.19,13.159434
29,37,Aichi,2019.02.20,29.355663
24,37,Aichi,2019.02.21,24.29434
32,37,Aichi,2019.02.22,32.392456
32,37,Aichi,2019.02.23,32.392456
38,86,Aichi,2019.02.24,38.010159
50,86,Aichi,2019.02.25,50.013371
70,86,Aichi,2019.02.26,70.018715
40,86,Aichi,2019.02.27,40.010693
38,86,Aichi,2019.02.28,38.010159
52,86,Aichi,2019.03.01,52.013905
86,86,Aichi,2019.03.02,86.022995
48,100,Aichi,2019.03.03,48
37,100,Aichi,2019.03.04,37.000004
100,100,Aichi,2019.03.05,100
61,100,Aichi,2019.03.06,61.000004
71,100,Aichi,2019.03.07,71
66,100,Aichi,2019.03.08,66
52,100,Aichi,2019.03.09,52
42,63,Aichi,2019.03.10,42.007664
20,63,Aichi,2019.03.11,20.003651
37,63,Aichi,2019.03.12,37.006752
59,63,Aichi,2019.03.13,59.010765
55,63,Aichi,2019.03.14,55.010036
33,63,Aichi,2019.03.15,33.006023
28,63,Aichi,2019.03.16,28.00511
31,62,Aichi,2019.03.17,30.513502
51,62,Aichi,2019.03.18,50.199635
40,62,Aichi,2019.03.19,39.372261
46,62,Aichi,2019.03.20,45.278103
18,62,Aichi,2019.03.21,17.717518
32,62,Aichi,2019.03.22,31.49781
56,62,Aichi,2019.03.23,55.121166
31,59,Aichi,2019.03.24,31.572023
39,59,Aichi,2019.03.25,39.719643
42,59,Aichi,2019.03.26,42.774998
28,59,Aichi,2019.03.27,28.516665
46,59,Aichi,2019.03.28,46.848808
26,59,Aichi,2019.03.29,26.479761
40,59,Aichi,2019.03.30,40.738098
11,44,Aichi,2019.03.31,11.139683
20,44,Aichi,2019.04.01,20.253967
15,44,Aichi,2019.04.02,15.190476
15,44,Aichi,2019.04.03,15.190476
22,44,Aichi,2019.04.04,22.279366
45,44,Aichi,2019.04.05,45.57143
61,44,Aichi,2019.04.06,61.774605
41,52,Aichi,2019.04.07,40.148052
33,52,Aichi,2019.04.08,32.314285
32,52,Aichi,2019.04.09,31.335066
41,52,Aichi,2019.04.10,40.148052
31,52,Aichi,2019.04.11,30.355846
27,52,Aichi,2019.04.12,26.438961
26,52,Aichi,2019.04.13,25.459742
22,47,Aichi,2019.04.14,21.940975
19,47,Aichi,2019.04.15,18.949024
31,47,Aichi,2019.04.16,30.916828
32,47,Aichi,2019.04.17,31.914145
42,47,Aichi,2019.04.18,41.887318
25,47,Aichi,2019.04.19,24.932924
34,47,Aichi,2019.04.20,33.908779
36,57,Aichi,2019.04.21,36.285366
36,57,Aichi,2019.04.22,36.285366
37,57,Aichi,2019.04.23,37.293293
40,57,Aichi,2019.04.24,40.317074
31,57,Aichi,2019.04.25,31.245731
39,57,Aichi,2019.04.26,39.309147
27,57,Aichi,2019.04.27,27.214024
28,58,Aichi,2019.04.28,27.812601
36,58,Aichi,2019.04.29,35.759056
32,58,Aichi,2019.04.30,31.785828
35,58,Aichi,2019.05.01,34.765751
44,58,Aichi,2019.05.02,43.705513
40,58,Aichi,2019.05.03,39.732285
39,58,Aichi,2019.05.04,38.738979
41,54,Aichi,2019.05.05,40.128754
28,54,Aichi,2019.05.06,27.405001
32,54,Aichi,2019.05.07,31.320002
32,54,Aichi,2019.05.08,31.320002
22,54,Aichi,2019.05.09,21.532501
52,54,Aichi,2019.05.10,50.895
33,54,Aichi,2019.05.11,32.298752
35,42,Aichi,2019.05.12,34.752716
30,42,Aichi,2019.05.13,29.788042
23,42,Aichi,2019.05.14,22.8375
26,42,Aichi,2019.05.15,25.816303
20,42,Aichi,2019.05.16,19.858694
20,42,Aichi,2019.05.17,19.858694
30,42,Aichi,2019.05.18,29.788042
36,48,Aichi,2019.05.19,35.290142
15,48,Aichi,2019.05.20,14.704226
49,48,Aichi,2019.05.21,48.033802
21,48,Aichi,2019.05.22,20.585917
23,48,Aichi,2019.05.23,22.54648
37,48,Aichi,2019.05.24,36.270424
32,48,Aichi,2019.05.25,31.369015
26,41,Aichi,2019.05.26,25.339346
27,41,Aichi,2019.05.27,26.313936
31,41,Aichi,2019.05.28,30.212297
25,41,Aichi,2019.05.29,24.364756
32,41,Aichi,2019.05.30,31.186886
20,41,Aichi,2019.05.31,19.491804
22,41,Aichi,2019.06.01,21.440985
16,37,Aichi,2019.06.02,16.196228
32,37,Aichi,2019.06.03,32.392456
26,37,Aichi,2019.06.04,26.318869
14,37,Aichi,2019.06.05,14.171699
27,37,Aichi,2019.06.06,27.331135
34,37,Aichi,2019.06.07,34.416985
10,37,Aichi,2019.06.08,10.122642
31,31,Aichi,2019.06.09,31.669317
15,31,Aichi,2019.06.10,15.323863
9,31,Aichi,2019.06.11,9.1943178
14,31,Aichi,2019.06.12,14.302273
25,31,Aichi,2019.06.13,25.539772
23,31,Aichi,2019.06.14,23.49659
15,31,Aichi,2019.06.15,15.323863
23,34,Aichi,2019.06.16,22.527815
32,34,Aichi,2019.06.17,31.343048
26,34,Aichi,2019.06.18,25.466225
26,34,Aichi,2019.06.19,25.466225
12,34,Aichi,2019.06.20,11.753643
11,34,Aichi,2019.06.21,10.774173
