date,prefecture,raw_daily,raw_weekly,symptoms_harmonized_daily
2017.06.30,Aichi,9,24,5.6107311
2017.07.01,Aichi,21,24,13.091706
2017.07.02,Aichi,20,22,9.9174585
2017.07.03,Aichi,27,22,13.388571
2017.07.04,Aichi,39,22,19.339046
2017.07.05,Aichi,21,22,10.413332
2017.07.06,Aichi,27,22,13.388571
2017.07.07,Aichi,31,22,15.372062
2017.07.08,Aichi,24,22,11.900951
2017.07.09,Aichi,33,28,17.264208
2017.07.10,Aichi,34,28,17.787365
2017.07.11,Aichi,17,28,8.8936825
2017.07.12,Aichi,30,28,15.694736
2017.07.13,Aichi,61,28,31.912626
2017.07.14,Aichi,13,28,6.8010516
2017.07.15,Aichi,40,28,20.926313
2017.07.16,Aichi,27,31,13.713923
2017.07.17,Aichi,39,31,19.808998
2017.07.18,Aichi,31,31,15.745615
2017.07.19,Aichi,34,31,17.269384
2017.07.20,Aichi,48,31,24.380306
2017.07.21,Aichi,50,31,25.396152
2017.07.22,Aichi,31,31,15.745615
2017.07.23,Aichi,33,28,16.608606
2017.07.24,Aichi,19,28,9.5625305
2017.07.25,Aichi,42,28,21.138226
2017.07.26,Aichi,40,28,20.131645
2017.07.27,Aichi,33,28,16.608606
2017.07.28,Aichi,43,28,21.641518
2017.07.29,Aichi,27,28,13.58886
2017.07.30,Aichi,46,29,22.640795
2017.07.31,Aichi,40,29,19.687649
2017.08.01,Aichi,49,29,24.117369
2017.08.02,Aichi,31,29,15.257927
2017.08.03,Aichi,26,29,12.796971
2017.08.04,Aichi,39,29,19.195456
2017.08.05,Aichi,20,29,9.8438244
2017.08.06,Aichi,19,34,9.6899996
2017.08.07,Aichi,48,34,24.479998
2017.08.08,Aichi,41,34,20.909998
2017.08.09,Aichi,25,34,12.749998
2017.08.10,Aichi,42,34,21.419998
2017.08.11,Aichi,75,34,38.249996
2017.08.12,Aichi,34,34,17.339998
2017.08.13,Aichi,28,29,14.909999
2017.08.14,Aichi,40,29,21.299999
2017.08.15,Aichi,16,29,8.5199995
2017.08.16,Aichi,55,29,29.287498
