date,prefecture,raw_daily,raw_weekly,pollen_harmonized_daily
2017.08.13,Aichi,32,1,1.298156
2017.08.14,Aichi,6,1,.24340424
2017.08.15,Aichi,12,1,.48680848
2017.08.16,Aichi,18,1,.73021275
2017.08.17,Aichi,0,1,0
2017.08.18,Aichi,35,1,1.4198581
2017.08.19,Aichi,38,1,1.5415603
2017.08.20,Aichi,18,2,1.420138
2017.08.21,Aichi,0,2,0
2017.08.22,Aichi,48,2,3.787035
2017.08.23,Aichi,24,2,1.8935175
2017.08.24,Aichi,18,2,1.420138
2017.08.25,Aichi,12,2,.94675875
2017.08.26,Aichi,25,2,1.9724139
2017.08.27,Aichi,56,2,2.7377779
2017.08.28,Aichi,24,2,1.1733334
2017.08.29,Aichi,24,2,1.1733334
2017.08.30,Aichi,12,2,.5866667
2017.08.31,Aichi,56,2,2.7377779
2017.09.01,Aichi,19,2,.92888898
2017.09.02,Aichi,43,2,2.1022222
2017.09.03,Aichi,24,3,1.7160001
2017.09.04,Aichi,31,3,2.2165
2017.09.05,Aichi,68,3,4.862
2017.09.06,Aichi,12,3,.85800004
2017.09.07,Aichi,25,3,1.7875001
2017.09.08,Aichi,50,3,3.5750003
2017.09.09,Aichi,30,3,2.1450002
2017.09.10,Aichi,48,2,2.9053967
2017.09.11,Aichi,37,2,2.2395768
2017.09.12,Aichi,18,2,1.0895238
2017.09.13,Aichi,25,2,1.5132275
2017.09.14,Aichi,37,2,2.2395768
2017.09.15,Aichi,12,2,.72634917
2017.09.16,Aichi,12,2,.72634917
2017.09.17,Aichi,28,2,1.4364126
2017.09.18,Aichi,24,2,1.2312108
2017.09.19,Aichi,56,2,2.8728251
2017.09.20,Aichi,38,2,1.949417
2017.09.21,Aichi,13,2,.66690582
2017.09.22,Aichi,19,2,.9747085
2017.09.23,Aichi,45,2,2.3085201
2017.09.24,Aichi,38,3,2.1034839
2017.09.25,Aichi,49,3,2.7123871
2017.09.26,Aichi,63,3,3.487355
2017.09.27,Aichi,51,3,2.8230968
2017.09.28,Aichi,25,3,1.383871
2017.09.29,Aichi,58,3,3.2105806
2017.09.30,Aichi,26,3,1.4392259
2017.10.01,Aichi,67,4,3.8516581
2017.10.02,Aichi,24,4,1.3796985
2017.10.03,Aichi,50,4,2.8743718
