date,prefecture,raw_daily,raw_weekly,anxietydrug2_harmonized_daily
2017.11.04,Aichi,0,44,0
2017.11.05,Aichi,0,51,0
2017.11.06,Aichi,0,51,0
2017.11.07,Aichi,36,51,27.773806
2017.11.08,Aichi,53,51,40.889214
2017.11.09,Aichi,36,51,27.773806
2017.11.10,Aichi,0,51,0
2017.11.11,Aichi,34,51,26.230818
2017.11.12,Aichi,17,53,15.049501
2017.11.13,Aichi,51,53,45.148502
2017.11.14,Aichi,18,53,15.934767
2017.11.15,Aichi,19,53,16.820032
2017.11.16,Aichi,0,53,0
2017.11.17,Aichi,20,53,17.705297
2017.11.18,Aichi,19,53,16.820032
2017.11.19,Aichi,0,58,0
