date,raw_daily,raw_weekly,suicide2_harmonized_daily
2017.05.29,48,56,23.335384
2017.05.30,57,56,27.710768
2017.05.31,67,56,32.572308
2017.06.01,55,56,26.738462
2017.06.02,50,56,24.307693
2017.06.03,48,56,23.335384
2017.06.04,47,46,22.622252
2017.06.05,39,46,18.771656
2017.06.06,53,46,25.510197
2017.06.07,47,46,22.622252
2017.06.08,44,46,21.178276
2017.06.09,39,46,18.771656
2017.06.10,33,46,15.883709
2017.06.11,41,44,19.589827
2017.06.12,43,44,20.545429
2017.06.13,45,44,21.50103
2017.06.14,39,44,18.634226
2017.06.15,43,44,20.545429
2017.06.16,42,44,20.067627
2017.06.17,38,44,18.156425
2017.06.18,37,40,17.581955
2017.06.19,40,40,19.007517
2017.06.20,39,40,18.53233
2017.06.21,36,40,17.106766
2017.06.22,39,40,18.53233
2017.06.23,40,40,19.007517
2017.06.24,35,40,16.631578
2017.06.25,34,40,16.340683
2017.06.26,44,40,21.146767
2017.06.27,43,40,20.666157
2017.06.28,43,40,20.666157
2017.06.29,37,40,17.782507
2017.06.30,34,40,16.340683
2017.07.01,28,40,13.457033
2017.07.02,17,41,18.202644
2017.07.03,18,41,19.273388
2017.07.04,18,41,19.273388
2017.07.05,18,41,19.273388
2017.07.06,19,41,20.344131
2017.07.07,17,41,18.202644
2017.07.08,14,41,14.990413
2017.07.09,16,40,17.138981
2017.07.10,20,40,21.423725
2017.07.11,19,40,20.352541
2017.07.12,16,40,17.138981
2017.07.13,17,40,18.210169
2017.07.14,15,40,16.067795
2017.07.15,15,40,16.067795
2017.07.16,17,57,18.785521
2017.07.17,16,57,17.680489
2017.07.18,19,57,20.995581
2017.07.19,16,57,17.680489
2017.07.20,33,57,36.466007
2017.07.21,39,57,43.096191
2017.07.22,23,57,25.415703
2017.07.23,24,54,25.919998
2017.07.24,24,54,25.919998
2017.07.25,22,54,23.759998
2017.07.26,32,54,34.559998
2017.07.27,20,54,21.599998
2017.07.28,19,54,20.519999
2017.07.29,17,54,18.359999
2017.07.30,18,41,19.273388
2017.07.31,17,41,18.202644
2017.08.01,17,41,18.202644
2017.08.02,16,41,17.131901
2017.08.03,19,41,20.344131
2017.08.04,17,41,18.202644
2017.08.05,17,41,18.202644
2017.08.06,17,51,18.511621
2017.08.07,17,51,18.511621
2017.08.08,21,51,22.867296
2017.08.09,24,51,26.134054
2017.08.10,26,51,28.311893
2017.08.11,24,51,26.134054
2017.08.12,19,51,20.689461
2017.08.13,22,44,23.350227
2017.08.14,17,44,18.043358
2017.08.15,18,44,19.104733
2017.08.16,20,44,21.22748
2017.08.17,19,44,20.166107
2017.08.18,17,44,18.043358
2017.08.19,18,44,19.104733
2017.08.20,25,49,27.069927
2017.08.21,18,49,19.490349
2017.08.22,18,49,19.490349
2017.08.23,20,49,21.655943
2017.08.24,27,49,29.235523
2017.08.25,19,49,20.573145
2017.08.26,16,49,17.324753
2017.08.27,21,56,22.798527
2017.08.28,21,56,22.798527
2017.08.29,21,56,22.798527
2017.08.30,22,56,23.884171
2017.08.31,24,56,26.055458
2017.09.01,31,56,33.654968
2017.09.02,23,56,24.969814
2017.09.03,21,50,22.726027
2017.09.04,24,50,25.972601
2017.09.05,22,50,23.808216
2017.09.06,23,50,24.890409
2017.09.07,19,50,20.561642
2017.09.08,19,50,20.561642
2017.09.09,18,50,19.47945
2017.09.10,20,43,21.231249
2017.09.11,20,43,21.231249
2017.09.12,17,43,18.046562
2017.09.13,19,43,20.169687
2017.09.14,20,43,21.231249
2017.09.15,16,43,16.984999
2017.09.16,16,43,16.984999
2017.09.17,16,42,16.988159
2017.09.18,18,42,19.111679
2017.09.19,19,42,20.173439
2017.09.20,19,42,20.173439
2017.09.21,17,42,18.049919
2017.09.22,20,42,21.235199
2017.09.23,16,42,16.988159
2017.09.24,17,44,17.772028
2017.09.25,18,44,18.817444
2017.09.26,17,44,17.772028
2017.09.27,24,44,25.089924
2017.09.28,23,44,24.04451
2017.09.29,19,44,19.862856
2017.09.30,15,44,15.681203
2017.10.01,16,39,17.449911
2017.10.02,19,39,20.721769
2017.10.03,15,39,16.359293
2017.10.04,16,39,17.449911
2017.10.05,16,39,17.449911
2017.10.06,15,39,16.359293
2017.10.07,16,39,17.449911
2017.10.08,18,41,19.273388
2017.10.09,19,41,20.344131
2017.10.10,17,41,18.202644
2017.10.11,18,41,19.273388
2017.10.12,18,41,19.273388
2017.10.13,16,41,17.131901
2017.10.14,15,41,16.061155
2017.10.15,18,59,19.067728
2017.10.16,30,59,31.779545
2017.10.17,32,59,33.898182
2017.10.18,28,59,29.660908
2017.10.19,23,59,24.364317
2017.10.20,26,59,27.542273
2017.10.21,19,59,20.127045
2017.10.22,15,38,15.939824
2017.10.23,14,38,14.877168
2017.10.24,19,38,20.190443
2017.10.25,19,38,20.190443
2017.10.26,16,38,17.002478
2017.10.27,16,38,17.002478
2017.10.28,14,38,14.877168
2017.10.29,18,100,18
2017.10.30,32,100,32
2017.10.31,100,100,100
2017.11.01,64,100,64
2017.11.02,42,100,42
2017.11.03,32,100,32
2017.11.04,28,100,28
2017.11.05,24,55,26.4
2017.11.06,28,55,30.800001
2017.11.07,24,55,26.4
2017.11.08,22,55,24.200001
2017.11.09,21,55,23.099998
2017.11.10,20,55,21.999998
2017.11.11,19,55,20.9
2017.11.12,20,41,21.414875
2017.11.13,17,41,18.202644
2017.11.14,16,41,17.131901
2017.11.15,16,41,17.131901
2017.11.16,15,41,16.061155
2017.11.17,19,41,20.344131
2017.11.18,18,41,19.273388
2017.11.19,18,39,18.960001
2017.11.20,17,39,17.906666
2017.11.21,15,39,15.800001
2017.11.22,17,39,17.906666
2017.11.23,16,39,16.853334
2017.11.24,17,39,17.906666
2017.11.25,17,39,17.906666
2017.11.26,16,41,16.717421
2017.11.27,24,41,25.07613
2017.11.28,15,41,15.672581
2017.11.29,17,41,17.762259
2017.11.30,18,41,18.807096
2017.12.01,18,41,18.807096
2017.12.02,16,41,16.717421
2017.12.03,14,35,15.180392
2017.12.04,16,35,17.34902
2017.12.05,15,35,16.264706
2017.12.06,14,35,15.180392
2017.12.07,15,35,16.264706
2017.12.08,14,35,15.180392
2017.12.09,14,35,15.180392
2017.12.10,15,35,16.106794
2017.12.11,14,35,15.033008
2017.12.12,14,35,15.033008
2017.12.13,15,35,16.106794
2017.12.14,15,35,16.106794
2017.12.15,16,35,17.18058
2017.12.16,14,35,15.033008
2017.12.17,14,90,14.219999
2017.12.18,75,90,76.178566
2017.12.19,62,90,62.974281
2017.12.20,39,90,39.612854
2017.12.21,34,90,34.534283
2017.12.22,32,90,32.502857
2017.12.23,24,90,24.377142
2017.12.24,20,43,21.568253
2017.12.25,18,43,19.411428
2017.12.26,22,43,23.725077
2017.12.27,21,43,22.646664
2017.12.28,15,43,16.176189
2017.12.29,15,43,16.176189
2017.12.30,15,43,16.176189
2017.12.31,23,49,13.857276
2018.01.01,21,49,12.652295
2018.01.02,35,49,21.087158
2018.01.03,54,49,32.534473
2018.01.04,44,49,26.509571
2018.01.05,40,49,24.099611
2018.01.06,40,49,24.099611
2018.01.07,32,56,19.662222
2018.01.08,43,56,26.42111
2018.01.09,51,56,31.336668
2018.01.10,43,56,26.42111
2018.01.11,46,56,28.264444
2018.01.12,38,56,23.348888
2018.01.13,35,56,21.505554
2018.01.14,32,42,19.217375
2018.01.15,29,42,17.415747
2018.01.16,31,42,18.616831
2018.01.17,32,42,19.217375
2018.01.18,29,42,17.415747
2018.01.19,38,42,22.820633
2018.01.20,30,42,18.016289
2018.01.21,50,52,30.656717
2018.01.22,38,52,23.299105
2018.01.23,44,52,26.977911
2018.01.24,41,52,25.138508
2018.01.25,35,52,21.459702
2018.01.26,30,52,18.39403
2018.01.27,30,52,18.39403
2018.01.28,36,41,21.693768
2018.01.29,29,41,17.475536
2018.01.30,30,41,18.078138
2018.01.31,36,41,21.693768
2018.02.01,30,41,18.078138
2018.02.02,27,41,16.270327
2018.02.03,27,41,16.270327
2018.02.04,33,44,19.69236
2018.02.05,41,44,24.466265
2018.02.06,34,44,20.289099
2018.02.07,32,44,19.095621
2018.02.08,29,44,17.305408
2018.02.09,31,44,18.498884
2018.02.10,33,44,19.69236
2018.02.11,25,40,15.04762
2018.02.12,34,40,20.464762
2018.02.13,26,40,15.649524
2018.02.14,37,40,22.270477
2018.02.15,33,40,19.862856
2018.02.16,33,40,19.862856
2018.02.17,22,40,13.241904
2018.02.18,40,46,23.829506
2018.02.19,40,46,23.829506
2018.02.20,40,46,23.829506
2018.02.21,36,46,21.446556
2018.02.22,32,46,19.063606
2018.02.23,31,46,18.467869
2018.02.24,25,46,14.893441
2018.02.25,32,37,18.521978
2018.02.26,32,37,18.521978
2018.02.27,32,37,18.521978
2018.02.28,27,37,15.627918
2018.03.01,26,37,15.049108
2018.03.02,26,37,15.049108
2018.03.03,27,37,15.627918
2018.03.04,31,57,18.737314
2018.03.05,25,57,15.110737
2018.03.06,23,57,13.901877
2018.03.07,31,57,18.737314
2018.03.08,26,57,15.715165
2018.03.09,100,57,60.442947
2018.03.10,62,57,37.474628
2018.03.11,57,66,33.965488
2018.03.12,66,66,39.328457
2018.03.13,51,66,30.390169
2018.03.14,40,66,23.835428
2018.03.15,53,66,31.581942
2018.03.16,51,66,30.390169
2018.03.17,32,66,19.068342
2018.03.18,30,45,17.849371
2018.03.19,30,45,17.849371
2018.03.20,33,45,19.63431
2018.03.21,44,45,26.179077
2018.03.22,35,45,20.824266
2018.03.23,32,45,19.03933
2018.03.24,35,45,20.824266
2018.03.25,32,53,19.278273
2018.03.26,31,53,18.675825
2018.03.27,39,53,23.495396
2018.03.28,32,53,19.278273
2018.03.29,32,53,19.278273
2018.03.30,73,53,43.978558
2018.03.31,39,53,23.495396
2018.04.01,32,46,18.832066
2018.04.02,35,46,20.59757
2018.04.03,33,46,19.420567
2018.04.04,32,46,18.832066
2018.04.05,41,46,24.128584
2018.04.06,38,46,22.363077
2018.04.07,36,46,21.186073
2018.04.08,32,38,18.563091
2018.04.09,30,38,17.402897
2018.04.10,26,38,15.082512
2018.04.11,29,38,16.822802
2018.04.12,28,38,16.242704
2018.04.13,32,38,18.563091
2018.04.14,30,38,17.402897
2018.04.15,33,38,19.520393
2018.04.16,29,38,17.154285
2018.04.17,28,38,16.562757
2018.04.18,30,38,17.745811
2018.04.19,26,38,15.379704
2018.04.20,29,38,17.154285
2018.04.21,28,38,16.562757
2018.04.22,30,39,18.212807
2018.04.23,29,39,17.605713
2018.04.24,28,39,16.998619
2018.04.25,27,39,16.391527
2018.04.26,29,39,17.605713
2018.04.27,32,39,19.426994
2018.04.28,28,39,16.998619
2018.04.29,31,36,18.272331
2018.04.30,29,36,17.09347
2018.05.01,25,36,14.73575
2018.05.02,31,36,18.272331
2018.05.03,24,36,14.146321
2018.05.04,26,36,15.32518
2018.05.05,27,36,15.914611
2018.05.06,33,43,19.495827
2018.05.07,32,43,18.905043
2018.05.08,32,43,18.905043
2018.05.09,29,43,17.132696
2018.05.10,31,43,18.31426
