date,prefecture,raw_daily,raw_weekly,suicide_harmonized_daily
2015.08.15,Aichi,19,46,9.2299252
2015.08.16,Aichi,30,41,14.653161
2015.08.17,Aichi,17,41,8.3034582
2015.08.18,Aichi,23,41,11.234091
2015.08.19,Aichi,25,41,12.210967
2015.08.20,Aichi,32,41,15.630039
2015.08.21,Aichi,41,41,20.025988
2015.08.22,Aichi,35,41,17.095354
2015.08.23,Aichi,31,44,14.993876
2015.08.24,Aichi,41,44,19.830612
2015.08.25,Aichi,32,44,15.477551
2015.08.26,Aichi,27,44,13.059183
2015.08.27,Aichi,40,44,19.346939
2015.08.28,Aichi,31,44,14.993876
2015.08.29,Aichi,18,44,8.7061224
2015.08.30,Aichi,31,39,15.149254
2015.08.31,Aichi,29,39,14.171884
2015.09.01,Aichi,36,39,17.592682
2015.09.02,Aichi,24,39,11.728455
2015.09.03,Aichi,23,39,11.23977
2015.09.04,Aichi,20,39,9.7737122
2015.09.05,Aichi,30,39,14.660569
2015.09.06,Aichi,23,38,11.242835
2015.09.07,Aichi,28,38,13.68693
2015.09.08,Aichi,34,38,16.619844
2015.09.09,Aichi,31,38,15.153387
2015.09.10,Aichi,33,38,16.131025
2015.09.11,Aichi,23,38,11.242835
2015.09.12,Aichi,16,38,7.8211031
2015.09.13,Aichi,30,39,14.660569
2015.09.14,Aichi,21,39,10.262398
2015.09.15,Aichi,35,39,17.103996
2015.09.16,Aichi,22,39,10.751084
2015.09.17,Aichi,27,39,13.194511
2015.09.18,Aichi,30,39,14.660569
2015.09.19,Aichi,28,39,13.683197
2015.09.20,Aichi,19,36,9.1897964
2015.09.21,Aichi,22,36,10.640818
2015.09.22,Aichi,25,36,12.091838
2015.09.23,Aichi,32,36,15.477552
2015.09.24,Aichi,19,36,9.1897964
2015.09.25,Aichi,30,36,14.510205
2015.09.26,Aichi,33,36,15.961226
2015.09.27,Aichi,35,35,16.737288
2015.09.28,Aichi,18,35,8.607748
2015.09.29,Aichi,26,35,12.433414
2015.09.30,Aichi,27,35,12.911623
2015.10.01,Aichi,37,35,17.693705
2015.10.02,Aichi,23,35,10.99879
2015.10.03,Aichi,11,35,5.2602906
2015.10.04,Aichi,22,37,10.640816
2015.10.05,Aichi,29,37,14.02653
2015.10.06,Aichi,11,37,5.3204079
2015.10.07,Aichi,33,37,15.961225
2015.10.08,Aichi,23,37,11.12449
2015.10.09,Aichi,36,37,17.412245
2015.10.10,Aichi,31,37,14.993876
2015.10.11,Aichi,19,51,9.1182795
2015.10.12,Aichi,33,51,15.837012
2015.10.13,Aichi,24,51,11.517827
2015.10.14,Aichi,23,51,11.037917
2015.10.15,Aichi,34,51,16.316921
2015.10.16,Aichi,100,51,47.990944
2015.10.17,Aichi,24,51,11.517827
2015.10.18,Aichi,18,38,8.7521868
2015.10.19,Aichi,21,38,10.210884
2015.10.20,Aichi,30,38,14.586977
2015.10.21,Aichi,32,38,15.559443
2015.10.22,Aichi,23,38,11.183349
2015.10.23,Aichi,36,38,17.504374
2015.10.24,Aichi,29,38,14.100745
2015.10.25,Aichi,26,49,12.575509
2015.10.26,Aichi,34,49,16.444897
2015.10.27,Aichi,43,49,20.79796
2015.10.28,Aichi,48,49,23.216326
2015.10.29,Aichi,37,49,17.895918
2015.10.30,Aichi,28,49,13.542857
2015.10.31,Aichi,29,49,14.02653
2015.11.01,Aichi,22,89,10.640816
2015.11.02,Aichi,90,89,43.530613
2015.11.03,Aichi,87,89,42.07959
2015.11.04,Aichi,45,89,21.765306
2015.11.05,Aichi,86,89,41.595921
2015.11.06,Aichi,63,89,30.471428
2015.11.07,Aichi,52,89,25.151018
2015.11.08,Aichi,42,41,20.314285
2015.11.09,Aichi,25,41,12.091837
2015.11.10,Aichi,20,41,9.6734695
2015.11.11,Aichi,40,41,19.346939
2015.11.12,Aichi,30,41,14.510204
2015.11.13,Aichi,28,41,13.542857
2015.11.14,Aichi,20,41,9.6734695
2015.11.15,Aichi,29,41,13.958441
2015.11.16,Aichi,30,41,14.439766
2015.11.17,Aichi,39,41,18.771696
2015.11.18,Aichi,31,41,14.921091
2015.11.19,Aichi,33,41,15.883742
2015.11.20,Aichi,24,41,11.551813
2015.11.21,Aichi,20,41,9.6265106
2015.11.22,Aichi,13,37,6.3219275
2015.11.23,Aichi,29,37,14.102761
2015.11.24,Aichi,31,37,15.075365
2015.11.25,Aichi,13,37,6.3219275
2015.11.26,Aichi,34,37,16.534271
2015.11.27,Aichi,18,37,8.753438
2015.11.28,Aichi,46,37,22.369898
2015.11.29,Aichi,40,40,19.250685
2015.11.30,Aichi,19,40,9.1440754
2015.12.01,Aichi,20,40,9.6253424
2015.12.02,Aichi,29,40,13.956747
2015.12.03,Aichi,24,40,11.550411
2015.12.04,Aichi,37,40,17.806885
2015.12.05,Aichi,32,40,15.400548
2015.12.06,Aichi,33,33,16.256804
2015.12.07,Aichi,24,33,11.823129
2015.12.08,Aichi,19,33,9.3599777
2015.12.09,Aichi,15,33,7.3894558
2015.12.10,Aichi,24,33,11.823129
2015.12.11,Aichi,24,33,11.823129
2015.12.12,Aichi,23,33,11.3305
2015.12.13,Aichi,23,37,11.370335
2015.12.14,Aichi,33,37,16.313959
2015.12.15,Aichi,20,37,9.8872471
2015.12.16,Aichi,25,37,12.359059
2015.12.17,Aichi,26,37,12.853421
2015.12.18,Aichi,27,37,13.347784
2015.12.19,Aichi,27,37,13.347784
2015.12.20,Aichi,27,34,12.907333
2015.12.21,Aichi,23,34,10.995135
2015.12.22,Aichi,17,34,8.1268396
2015.12.23,Aichi,22,34,10.517086
2015.12.24,Aichi,28,34,13.385382
2015.12.25,Aichi,28,34,13.385382
2015.12.26,Aichi,27,34,12.907333
2015.12.27,Aichi,18,25,8.5020723
2015.12.28,Aichi,14,25,6.6127224
2015.12.29,Aichi,24,25,11.336096
2015.12.30,Aichi,25,25,11.808433
2015.12.31,Aichi,4,25,1.8893493
2016.01.01,Aichi,20,25,9.4467468
2016.01.02,Aichi,23,25,10.863759
2016.01.03,Aichi,79,62,21.419825
2016.01.10,Aichi,66,52,17.965015
2016.01.17,Aichi,40,31,10.709912
2016.01.24,Aichi,52,41,14.164723
2016.01.31,Aichi,49,39,13.473761
2016.02.07,Aichi,44,35,12.091837
2016.02.14,Aichi,54,43,14.855685
2016.02.21,Aichi,57,45,15.546647
2016.02.28,Aichi,53,42,14.510204
2016.03.06,Aichi,100,79,27.293003
2016.03.13,Aichi,46,36,12.437318
2016.03.20,Aichi,54,42,14.510204
2016.03.27,Aichi,50,39,13.473761
2016.04.03,Aichi,49,39,13.473761
2016.04.10,Aichi,48,38,13.12828
2016.04.17,Aichi,41,32,11.055393
2016.04.24,Aichi,45,35,12.091837
2016.05.01,Aichi,47,37,12.782799
2016.05.08,Aichi,66,52,17.965015
2016.05.15,Aichi,55,44,15.201166
2016.05.22,Aichi,63,49,16.928572
2016.05.29,Aichi,56,44,15.201166
2016.06.05,Aichi,58,45,15.546647
2016.06.12,Aichi,78,61,21.074345
2016.06.19,Aichi,60,47,16.23761
2016.06.26,Aichi,57,45,15.546647
2016.07.03,Aichi,46,36,12.437318
2016.07.10,Aichi,48,38,13.12828
2016.07.17,Aichi,52,41,14.164723
2016.07.24,Aichi,44,35,12.091837
2016.07.31,Aichi,47,37,12.782799
2016.08.07,Aichi,43,34,11.746356
2016.08.14,Aichi,44,35,12.091837
2016.08.21,Aichi,55,43,14.855685
2016.08.28,Aichi,53,41,14.164723
2016.09.04,Aichi,51,40,13.819242
2016.09.11,Aichi,47,37,12.782799
2016.09.18,Aichi,50,39,13.473761
