date,raw_daily,raw_weekly,medication_harmonized_daily
2017.12.05,61,8,6.9906754
2017.12.06,46,8,5.2716565
2017.12.07,60,8,6.8760738
2017.12.08,57,8,6.5322704
2017.12.09,30,8,3.4380369
2017.12.10,42,8,4.4832001
2017.12.11,47,8,5.0169144
2017.12.12,70,8,7.4720001
2017.12.13,48,8,5.1236572
2017.12.14,55,8,5.8708572
2017.12.15,40,8,4.2697144
2017.12.16,48,8,5.1236572
2017.12.17,34,8,3.5882487
2017.12.18,64,8,6.7543502
2017.12.19,49,8,5.1712995
2017.12.20,57,8,6.0155931
2017.12.21,55,8,5.8045197
2017.12.22,55,8,5.8045197
2017.12.23,40,8,4.2214689
2017.12.24,33,8,3.5326076
2017.12.25,68,8,7.2793126
2017.12.26,51,8,5.4594846
2017.12.27,66,8,7.0652151
2017.12.28,43,8,4.6030946
2017.12.29,44,8,4.7101431
2017.12.30,44,8,4.7101431
2017.12.31,8,8,6.641778
2018.01.01,3,8,2.4906669
2018.01.02,8,8,6.641778
2018.01.03,6,8,4.9813337
2018.01.04,7,8,5.8115559
2018.01.05,8,8,6.641778
2018.01.06,5,8,4.1511111
2018.01.07,8,9,6.2266665
2018.01.08,7,9,5.4483333
2018.01.09,10,9,7.7833333
2018.01.10,10,9,7.7833333
2018.01.11,8,9,6.2266665
2018.01.12,4,9,3.1133332
2018.01.13,7,9,5.4483333
2018.01.14,8,11,6.8493342
2018.01.15,8,11,6.8493342
2018.01.16,10,11,8.5616674
2018.01.17,7,11,5.9931669
2018.01.18,11,11,9.4178343
2018.01.19,8,11,6.8493342
2018.01.20,8,11,6.8493342
2018.01.21,10,12,8.1217403
2018.01.22,6,12,4.8730435
2018.01.23,7,12,5.6852183
2018.01.24,11,12,8.9339142
2018.01.25,10,12,8.1217403
2018.01.26,10,12,8.1217403
2018.01.27,15,12,12.18261
2018.01.28,23,17,18.444141
2018.01.29,13,17,10.42495
2018.01.30,12,17,9.6230307
2018.01.31,13,17,10.42495
2018.02.01,13,17,10.42495
2018.02.02,11,17,8.8211107
2018.02.03,14,17,11.226868
2018.02.04,14,19,11.191172
2018.02.05,17,19,13.58928
2018.02.06,14,19,11.191172
2018.02.07,19,19,15.188019
2018.02.08,13,19,10.391802
2018.02.09,16,19,12.78991
2018.02.10,18,19,14.388649
2018.02.11,14,29,10.8344
2018.02.12,28,29,21.6688
2018.02.13,31,29,23.990458
2018.02.14,27,29,20.894915
2018.02.15,25,29,19.347143
2018.02.16,25,29,19.347143
2018.02.17,25,29,19.347143
2018.02.18,30,33,23.70923
2018.02.19,28,33,22.128616
2018.02.20,29,33,22.918924
2018.02.21,29,33,22.918924
2018.02.22,31,33,24.499538
2018.02.23,24,33,18.967384
2018.02.24,24,33,18.967384
2018.02.25,37,73,29.198313
2018.02.26,51,73,40.246323
2018.02.27,51,73,40.246323
2018.02.28,58,73,45.770329
2018.03.01,75,73,59.185768
2018.03.02,87,73,68.655487
2018.03.03,73,73,57.607483
2018.03.04,79,78,60.582195
2018.03.05,73,78,55.981014
2018.03.06,79,78,60.582195
2018.03.07,86,78,65.950241
2018.03.08,54,78,41.410614
2018.03.09,46,78,35.275707
2018.03.10,58,78,44.478069
2018.03.11,76,98,59.86602
2018.03.12,96,98,75.620239
2018.03.13,94,98,74.044815
2018.03.14,91,98,71.681686
2018.03.15,100,98,78.77108
2018.03.16,62,98,48.838074
2018.03.17,62,98,48.838074
2018.03.18,60,48,46.862717
2018.03.19,49,48,38.271221
2018.03.20,31,48,24.212404
2018.03.21,34,48,26.55554
2018.03.22,34,48,26.55554
2018.03.23,39,48,30.460766
2018.03.24,40,48,31.241812
2018.03.25,50,64,38.815586
2018.03.26,56,64,43.473454
2018.03.27,51,64,39.591896
2018.03.28,49,64,38.039272
2018.03.29,56,64,43.473454
2018.03.30,61,64,47.355015
2018.03.31,62,64,48.131325
2018.04.01,49,48,39.228004
2018.04.02,46,48,36.826286
2018.04.03,36,48,28.820572
2018.04.04,41,48,32.823429
2018.04.05,42,48,33.624001
2018.04.06,37,48,29.621145
2018.04.07,29,48,23.216574
2018.04.08,24,26,18.68
2018.04.09,26,26,20.236666
