date,raw_daily,raw_weekly,anxietydrug1_harmonized_daily
2017.02.16,56,45,53.221535
2017.02.17,18,45,17.106922
2017.02.18,9,45,8.5534611
2017.02.19,28,53,26.569397
2017.02.20,37,53,35.109558
2017.02.21,48,53,45.547539
2017.02.22,28,53,26.569397
2017.02.23,55,53,52.189888
2017.02.24,28,53,26.569397
2017.02.25,19,53,18.029232
2017.02.26,9,33,7.7839932
2017.02.27,9,33,7.7839932
2017.02.28,37,33,32.000862
2017.03.01,37,33,32.000862
2017.03.02,27,33,23.351978
2017.03.03,9,33,7.7839932
2017.03.04,38,33,32.865749
2017.03.05,9,35,8.3564301
2017.03.06,27,35,25.06929
2017.03.07,27,35,25.06929
2017.03.08,37,35,34.354214
2017.03.09,9,35,8.3564301
2017.03.10,27,35,25.06929
2017.03.11,28,35,25.997784
2017.03.12,46,45,40.750427
2017.03.13,24,45,21.261091
2017.03.14,18,45,15.945819
2017.03.15,37,45,32.777515
2017.03.16,19,45,16.831697
2017.03.17,29,45,25.690487
2017.03.18,48,45,42.522182
2017.03.19,0,56,0
2017.03.20,28,56,24.897148
2017.03.21,98,56,87.140007
2017.03.22,64,56,56.907764
2017.03.23,9,56,8.0026541
2017.03.24,9,56,8.0026541
2017.03.25,66,56,58.686131
2017.03.26,55,53,46.797577
2017.03.27,62,53,52.753628
2017.03.28,27,53,22.973356
2017.03.29,36,53,30.631138
2017.03.30,18,53,15.315569
2017.03.31,27,53,22.973356
2017.04.01,46,53,39.13979
2017.04.02,37,43,32.045753
2017.04.03,9,43,7.7949128
2017.04.04,36,43,31.179651
2017.04.05,54,43,46.769482
2017.04.06,44,43,38.108463
2017.04.07,9,43,7.7949128
2017.04.08,27,43,23.384741
2017.04.09,18,46,16.15398
2017.04.10,28,46,25.128414
2017.04.11,18,46,16.15398
2017.04.12,38,46,34.102848
2017.04.13,37,46,33.205402
2017.04.14,19,46,17.051424
2017.04.15,65,46,58.333817
2017.04.16,19,45,16.606274
2017.04.17,18,45,15.732259
2017.04.18,46,45,40.204662
2017.04.19,0,45,0
2017.04.20,28,45,24.472403
2017.04.21,47,45,41.078674
2017.04.22,66,45,57.684948
2017.04.23,37,75,32.896599
2017.04.24,100,75,88.909729
2017.04.25,37,75,32.896599
