date,prefecture,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2017.01.28,Aichi,20,59,9.107749
2017.01.29,Aichi,20,51,7.9210987
2017.01.30,Aichi,0,51,0
2017.01.31,Aichi,21,51,8.3171539
2017.02.01,Aichi,41,51,16.238253
2017.02.02,Aichi,20,51,7.9210987
2017.02.03,Aichi,61,51,24.159351
2017.02.04,Aichi,0,51,0
2017.02.05,Aichi,19,37,7.5413008
2017.02.06,Aichi,0,37,0
2017.02.07,Aichi,20,37,7.938211
2017.02.08,Aichi,0,37,0
2017.02.09,Aichi,0,37,0
2017.02.10,Aichi,40,37,15.876422
2017.02.11,Aichi,39,37,15.479511
2017.02.12,Aichi,19,56,8.3137989
2017.02.13,Aichi,61,56,26.691669
2017.02.14,Aichi,41,56,17.940304
2017.02.15,Aichi,21,56,9.1889362
2017.02.16,Aichi,20,56,8.7513676
2017.02.17,Aichi,0,56,0
2017.02.18,Aichi,0,56,0
2017.02.19,Aichi,19,100,8.0706825
2017.02.20,Aichi,39,100,16.566137
2017.02.21,Aichi,20,100,8.4954548
2017.02.22,Aichi,100,100,42.477272
2017.02.23,Aichi,0,100,0
2017.02.24,Aichi,41,100,17.415682
2017.02.25,Aichi,79,100,33.557045
2017.02.26,Aichi,39,68,17.040417
2017.02.27,Aichi,59,68,25.779093
2017.02.28,Aichi,40,68,17.47735
2017.03.01,Aichi,20,68,8.7386751
2017.03.02,Aichi,19,68,8.3017416
2017.03.03,Aichi,20,68,8.7386751
2017.03.04,Aichi,0,68,0
2017.03.05,Aichi,38,97,18.738243
2017.03.06,Aichi,57,97,28.107365
2017.03.07,Aichi,0,97,0
2017.03.08,Aichi,39,97,19.231356
2017.03.09,Aichi,76,97,37.476486
2017.03.10,Aichi,39,97,19.231356
2017.03.11,Aichi,0,97,0
2017.03.12,Aichi,0,37,0
2017.03.13,Aichi,17,37,8.2937765
2017.03.14,Aichi,19,37,9.269515
2017.03.15,Aichi,0,37,0
2017.03.16,Aichi,40,37,19.514769
2017.03.17,Aichi,0,37,0
2017.03.18,Aichi,20,37,9.7573843
2017.03.19,Aichi,0,43,0
2017.03.20,Aichi,0,43,0
2017.03.21,Aichi,57,43,22.812735
2017.03.22,Aichi,19,43,7.6042442
2017.03.23,Aichi,20,43,8.004468
2017.03.24,Aichi,20,43,8.004468
2017.03.25,Aichi,20,43,8.004468
2017.03.26,Aichi,0,42,0
2017.03.27,Aichi,19,42,7.5949368
2017.03.28,Aichi,0,42,0
2017.03.29,Aichi,19,42,7.5949368
2017.03.30,Aichi,57,42,22.784809
2017.03.31,Aichi,19,42,7.5949368
2017.04.01,Aichi,19,42,7.5949368
2017.04.02,Aichi,19,61,7.7215199
2017.04.03,Aichi,19,61,7.7215199
2017.04.04,Aichi,58,61,23.570955
2017.04.05,Aichi,19,61,7.7215199
2017.04.06,Aichi,37,61,15.036643
2017.04.07,Aichi,38,61,15.44304
2017.04.08,Aichi,0,61,0
2017.04.09,Aichi,0,44,0
2017.04.10,Aichi,20,44,8.0138416
2017.04.11,Aichi,0,44,0
2017.04.12,Aichi,20,44,8.0138416
2017.04.13,Aichi,60,44,24.041525
2017.04.14,Aichi,20,44,8.0138416
