date,raw_daily,raw_weekly,depression1_harmonized_daily
2017.07.21,58,83,54.477135
2017.07.22,55,83,51.659355
2017.07.23,59,80,55.462826
2017.07.24,75,80,70.503593
2017.07.25,56,80,52.642681
2017.07.26,54,80,50.762585
2017.07.27,64,80,60.163067
2017.07.28,54,80,50.762585
2017.07.29,55,80,51.702633
2017.07.30,58,79,54.231396
2017.07.31,54,79,50.491302
2017.08.01,70,79,65.451691
2017.08.02,50,79,46.751205
2017.08.03,63,79,58.906521
2017.08.04,59,79,55.166424
2017.08.05,60,79,56.101448
2017.08.06,54,75,52.361481
2017.08.07,53,75,51.391823
2017.08.08,55,75,53.331135
2017.08.09,64,75,62.058048
2017.08.10,59,75,57.209763
2017.08.11,52,75,50.422161
2017.08.12,42,75,40.725594
2017.08.13,67,85,63.856979
2017.08.14,62,85,59.09153
2017.08.15,64,85,60.997711
2017.08.16,65,85,61.950798
2017.08.17,66,85,62.903889
2017.08.18,50,85,47.654461
2017.08.19,63,85,60.044621
2017.08.20,71,81,67.094994
2017.08.21,69,81,65.205002
2017.08.22,61,81,57.644997
2017.08.23,60,81,56.699997
2017.08.24,54,81,51.029999
2017.08.25,55,81,51.974998
2017.08.26,50,81,47.25
2017.08.27,72,87,68.665771
2017.08.28,63,87,60.08255
2017.08.29,67,87,63.897316
2017.08.30,76,87,72.480537
2017.08.31,61,87,58.175167
2017.09.01,52,87,49.591949
2017.09.02,56,87,53.406712
2017.09.03,65,96,61.894733
2017.09.04,86,96,81.891495
2017.09.05,71,96,67.608101
2017.09.06,80,96,76.178139
2017.09.07,73,96,69.51255
2017.09.08,59,96,56.181374
2017.09.09,60,96,57.133598
2017.09.10,64,82,60.649055
2017.09.11,68,82,64.439621
2017.09.12,55,82,52.120285
2017.09.13,66,82,62.544338
2017.09.14,61,82,57.806133
2017.09.15,55,82,52.120285
2017.09.16,55,82,52.120285
2017.09.17,54,88,49.967381
2017.09.18,65,88,60.145924
2017.09.19,100,88,92.532188
2017.09.20,65,88,60.145924
2017.09.21,61,88,56.444633
2017.09.22,64,88,59.2206
2017.09.23,57,88,52.743347
2017.09.24,85,88,81.268295
2017.09.25,75,88,71.707314
2017.09.26,59,88,56.409756
2017.09.27,74,88,70.751221
2017.09.28,60,88,57.365852
2017.09.29,52,88,49.717072
2017.09.30,46,88,43.980488
2017.10.01,60,87,57.999996
2017.10.02,62,87,59.933334
2017.10.03,56,87,54.133327
2017.10.04,70,87,67.666664
2017.10.05,73,87,70.566666
2017.10.06,65,87,62.833328
2017.10.07,55,87,53.166664
2017.10.08,65,88,63.8451
2017.10.09,65,88,63.8451
2017.10.10,63,88,61.880634
2017.10.11,52,88,51.076077
2017.10.12,66,88,64.827332
2017.10.13,59,88,57.951706
2017.10.14,69,88,67.774033
2017.10.15,73,84,69.714149
2017.10.16,73,84,69.714149
2017.10.17,73,84,69.714149
2017.10.18,53,84,50.614384
2017.10.19,66,84,63.029232
2017.10.20,52,84,49.659393
2017.10.21,41,84,39.154522
2017.10.22,52,84,49.659393
2017.10.23,62,84,59.209278
2017.10.24,79,84,75.444077
2017.10.25,58,84,55.389324
2017.10.26,66,84,63.029232
2017.10.27,58,84,55.389324
2017.10.28,56,84,53.479347
2017.10.29,59,74,55.423313
2017.10.30,53,74,49.787045
2017.10.31,73,74,68.574608
2017.11.01,57,74,53.544556
2017.11.02,39,74,36.63575
2017.11.03,45,74,42.272018
2017.11.04,60,74,56.362694
2017.11.05,65,86,62.111115
2017.11.06,70,86,66.888885
2017.11.07,73,86,69.755554
2017.11.08,57,86,54.466667
2017.11.09,66,86,63.066666
2017.11.10,60,86,57.333332
2017.11.11,50,86,47.777775
2017.11.12,57,79,53.816338
2017.11.13,63,79,59.481216
2017.11.14,67,79,63.257797
2017.11.15,54,79,50.983898
2017.11.16,74,79,69.866821
2017.11.17,43,79,40.598289
2017.11.18,52,79,49.095604
2017.11.19,61,65,58.169159
2017.11.20,55,65,52.447601
2017.11.21,52,65,49.586823
2017.11.22,42,65,40.050896
2017.11.23,36,65,34.329338
2017.11.24,39,65,37.190117
2017.11.25,49,65,46.726044
2017.11.26,80,82,78.399994
2017.11.27,70,82,68.599998
2017.11.28,51,82,49.98
2017.11.29,52,82,50.959995
2017.11.30,55,82,53.899998
2017.12.01,43,82,42.139999
2017.12.02,59,82,57.819996
2017.12.03,70,81,68.940445
2017.12.04,56,81,55.152351
2017.12.05,59,81,58.106945
2017.12.06,48,81,47.273445
2017.12.07,57,81,56.137218
2017.12.08,61,81,60.076675
2017.12.09,52,81,51.212898
2017.12.10,57,86,56.384502
2017.12.11,56,86,55.395306
2017.12.12,63,86,62.319717
2017.12.13,53,86,52.427696
2017.12.14,74,86,73.200935
2017.12.15,62,86,61.330513
2017.12.16,61,86,60.341316
2017.12.17,67,97,63.94598
2017.12.18,74,97,70.6269
2017.12.19,94,97,89.715256
2017.12.20,65,97,62.037148
2017.12.21,65,97,62.037148
2017.12.22,69,97,65.854813
2017.12.23,64,97,61.082726
2017.12.24,57,70,55.228813
2017.12.25,52,70,50.384178
2017.12.26,49,70,47.477402
2017.12.27,50,70,48.446323
2017.12.28,47,70,45.539547
2017.12.29,51,70,49.415257
2017.12.30,48,70,46.508469
2017.12.31,50,74,42.860519
2018.01.01,54,74,46.289364
2018.01.02,56,74,48.003784
2018.01.03,58,74,49.718204
2018.01.04,76,74,65.147995
2018.01.05,68,74,58.29031
2018.01.06,61,74,52.289837
2018.01.07,74,78,62.16
2018.01.08,71,78,59.640003
2018.01.09,69,78,57.959999
2018.01.10,62,78,52.079998
2018.01.11,71,78,59.640003
2018.01.12,58,78,48.720001
2018.01.13,50,78,42
2018.01.14,78,86,67.771545
2018.01.15,74,86,64.296082
2018.01.16,66,86,57.345158
2018.01.17,72,86,62.558353
2018.01.18,65,86,56.476288
2018.01.19,57,86,49.52536
2018.01.20,73,86,63.427216
2018.01.21,68,78,59.472767
2018.01.22,65,78,56.848969
2018.01.23,61,78,53.350571
2018.01.24,60,78,52.475971
2018.01.25,62,78,54.22517
2018.01.26,60,78,52.475971
2018.01.27,61,78,53.350571
2018.01.28,73,86,62.020565
2018.01.29,82,86,69.666931
2018.01.30,73,86,62.020565
2018.01.31,78,86,66.268547
2018.02.01,59,86,50.126209
2018.02.02,65,86,55.223789
2018.02.03,66,86,56.073387
2018.02.04,65,76,55.138947
2018.02.05,73,76,61.925282
2018.02.06,67,76,56.835533
2018.02.07,65,76,55.138947
2018.02.08,52,76,44.111156
2018.02.09,54,76,45.807739
2018.02.10,63,76,53.442364
2018.02.11,73,74,60.571621
2018.02.12,70,74,58.082378
2018.02.13,54,74,44.806408
2018.02.14,56,74,46.465904
2018.02.15,68,74,56.422882
2018.02.16,59,74,48.955147
2018.02.17,57,74,47.29565
2018.02.18,67,84,57.935291
2018.02.19,74,84,63.988235
2018.02.20,61,84,52.747059
2018.02.21,69,84,59.664703
2018.02.22,82,84,70.905876
2018.02.23,60,84,51.882351
2018.02.24,63,84,54.476471
2018.02.25,75,83,63.283199
2018.02.26,74,83,62.439419
2018.02.27,68,83,57.376766
2018.02.28,78,83,65.814522
2018.03.01,64,83,54.001663
2018.03.02,59,83,49.782784
2018.03.03,64,83,54.001663
2018.03.04,75,80,63.498913
2018.03.05,66,80,55.879044
2018.03.06,67,80,56.725697
2018.03.07,77,80,65.192223
2018.03.08,59,80,49.95248
2018.03.09,61,80,51.645782
2018.03.10,58,80,49.105827
2018.03.11,70,83,59.68343
2018.03.12,72,83,61.388672
2018.03.13,61,83,52.009846
2018.03.14,74,83,63.09391
2018.03.15,61,83,52.009846
2018.03.16,72,83,61.388672
2018.03.17,67,83,57.125572
2018.03.18,68,80,57.822128
2018.03.19,76,80,64.624733
2018.03.20,67,80,56.971802
2018.03.21,61,80,51.869854
2018.03.22,72,80,61.223431
2018.03.23,65,80,55.271152
2018.03.24,52,80,44.216923
2018.03.25,79,80,67.468407
