raw_daily,raw_weekly,prefecture,date,pollen_harmonized_daily
10,17,Aichi,2019.04.25,9.9721642
10,17,Aichi,2019.04.26,9.9721642
9,17,Aichi,2019.04.27,8.9749479
9,10,Aichi,2019.04.28,9.4833317
10,10,Aichi,2019.04.29,10.537036
4,10,Aichi,2019.04.30,4.2148142
4,10,Aichi,2019.05.01,4.2148142
8,10,Aichi,2019.05.02,8.4296284
10,10,Aichi,2019.05.03,10.537036
9,10,Aichi,2019.05.04,9.4833317
13,12,Aichi,2019.05.05,13.869374
10,12,Aichi,2019.05.06,10.668749
8,12,Aichi,2019.05.07,8.5349989
10,12,Aichi,2019.05.08,10.668749
8,12,Aichi,2019.05.09,8.5349989
10,12,Aichi,2019.05.10,10.668749
5,12,Aichi,2019.05.11,5.3343744
10,8,Aichi,2019.05.12,10.115555
7,8,Aichi,2019.05.13,7.0808883
5,8,Aichi,2019.05.14,5.0577774
4,8,Aichi,2019.05.15,4.0462222
4,8,Aichi,2019.05.16,4.0462222
7,8,Aichi,2019.05.17,7.0808883
8,8,Aichi,2019.05.18,8.0924444
13,11,Aichi,2019.05.19,13.561167
6,11,Aichi,2019.05.20,6.2590003
11,11,Aichi,2019.05.21,11.474833
5,11,Aichi,2019.05.22,5.2158332
8,11,Aichi,2019.05.23,8.3453331
7,11,Aichi,2019.05.24,7.3021665
10,11,Aichi,2019.05.25,10.431666
7,6,Aichi,2019.05.26,7.2418175
6,6,Aichi,2019.05.27,6.2072721
3,6,Aichi,2019.05.28,3.103636
5,6,Aichi,2019.05.29,5.1727266
5,6,Aichi,2019.05.30,5.1727266
4,6,Aichi,2019.05.31,4.1381812
3,6,Aichi,2019.06.01,3.103636
3,4,Aichi,2019.06.02,3.4139996
3,4,Aichi,2019.06.03,3.4139996
2,4,Aichi,2019.06.04,2.2759998
3,4,Aichi,2019.06.05,3.4139996
4,4,Aichi,2019.06.06,4.5519996
3,4,Aichi,2019.06.07,3.4139996
2,4,Aichi,2019.06.08,2.2759998
2,2,Aichi,2019.06.09,1.6257142
1,2,Aichi,2019.06.10,.81285709
3,2,Aichi,2019.06.11,2.4385712
2,2,Aichi,2019.06.12,1.6257142
