raw_daily,raw_weekly,prefecture,date,medication_harmonized_daily
6,8,Aichi,2019.01.11,6.2526565
13,8,Aichi,2019.01.12,13.547422
3,6,Aichi,2019.01.13,3.5171194
0,6,Aichi,2019.01.14,0
8,6,Aichi,2019.01.15,9.3789854
0,6,Aichi,2019.01.16,0
8,6,Aichi,2019.01.17,9.3789854
0,6,Aichi,2019.01.18,0
3,6,Aichi,2019.01.19,3.5171194
2,4,Aichi,2019.01.20,1.8099797
3,4,Aichi,2019.01.21,2.7149694
3,4,Aichi,2019.01.22,2.7149694
5,4,Aichi,2019.01.23,4.5249491
3,4,Aichi,2019.01.24,2.7149694
3,4,Aichi,2019.01.25,2.7149694
0,4,Aichi,2019.01.26,0
3,6,Aichi,2019.01.27,2.8658011
13,6,Aichi,2019.01.28,12.418471
0,6,Aichi,2019.01.29,0
3,6,Aichi,2019.01.30,2.8658011
5,6,Aichi,2019.01.31,4.7763348
0,6,Aichi,2019.02.01,0
3,6,Aichi,2019.02.02,2.8658011
2,10,Aichi,2019.02.03,2.2624745
3,10,Aichi,2019.02.04,3.3937118
10,10,Aichi,2019.02.05,11.312373
5,10,Aichi,2019.02.06,5.6561866
0,10,Aichi,2019.02.07,0
8,10,Aichi,2019.02.08,9.0498981
10,10,Aichi,2019.02.09,11.312373
8,11,Aichi,2019.02.10,8.4063501
0,11,Aichi,2019.02.11,0
8,11,Aichi,2019.02.12,8.4063501
5,11,Aichi,2019.02.13,5.2539687
11,11,Aichi,2019.02.14,11.558731
8,11,Aichi,2019.02.15,8.4063501
5,11,Aichi,2019.02.16,5.2539687
8,26,Aichi,2019.02.17,7.9126544
5,26,Aichi,2019.02.18,4.9454088
8,26,Aichi,2019.02.19,7.9126544
27,26,Aichi,2019.02.20,26.70521
10,26,Aichi,2019.02.21,9.8908176
24,26,Aichi,2019.02.22,23.737963
31,26,Aichi,2019.02.23,30.661535
10,77,Aichi,2019.02.24,10
49,77,Aichi,2019.02.25,49.000004
100,77,Aichi,2019.02.26,100
37,77,Aichi,2019.02.27,37
39,77,Aichi,2019.02.28,39
35,77,Aichi,2019.03.01,35
61,77,Aichi,2019.03.02,61.000004
39,100,Aichi,2019.03.03,40.203686
46,100,Aichi,2019.03.04,47.419727
71,100,Aichi,2019.03.05,73.191322
96,100,Aichi,2019.03.06,98.962906
56,100,Aichi,2019.03.07,57.728363
60,100,Aichi,2019.03.08,61.851818
49,100,Aichi,2019.03.09,50.512318
64,73,Aichi,2019.03.10,63.155769
54,73,Aichi,2019.03.11,53.287678
28,73,Aichi,2019.03.12,27.630648
62,73,Aichi,2019.03.13,61.182152
34,73,Aichi,2019.03.14,33.551502
45,73,Aichi,2019.03.15,44.406399
31,73,Aichi,2019.03.16,30.591076
60,41,Aichi,2019.03.17,58.748924
23,41,Aichi,2019.03.18,22.520418
17,41,Aichi,2019.03.19,16.645527
24,41,Aichi,2019.03.20,23.499571
20,41,Aichi,2019.03.21,19.582973
16,41,Aichi,2019.03.22,15.666379
20,41,Aichi,2019.03.23,19.582973
14,29,Aichi,2019.03.24,14.074782
26,29,Aichi,2019.03.25,26.13888
20,29,Aichi,2019.03.26,20.106829
10,29,Aichi,2019.03.27,10.053414
18,29,Aichi,2019.03.28,18.096148
21,29,Aichi,2019.03.29,21.112173
15,29,Aichi,2019.03.30,15.080123
15,22,Aichi,2019.03.31,15.939005
7,22,Aichi,2019.04.01,7.4382024
10,22,Aichi,2019.04.02,10.626002
8,22,Aichi,2019.04.03,8.500803
16,22,Aichi,2019.04.04,17.001606
13,22,Aichi,2019.04.05,13.813804
20,22,Aichi,2019.04.06,21.252005
15,18,Aichi,2019.04.07,16.120131
18,18,Aichi,2019.04.08,19.344156
18,18,Aichi,2019.04.09,19.344156
13,18,Aichi,2019.04.10,13.970779
0,18,Aichi,2019.04.11,0
5,18,Aichi,2019.04.12,5.3733768
3,18,Aichi,2019.04.13,3.224026
0,8,Aichi,2019.04.14,0
3,8,Aichi,2019.04.15,3.438961
5,8,Aichi,2019.04.16,5.7316017
3,8,Aichi,2019.04.17,3.438961
3,8,Aichi,2019.04.18,3.438961
11,8,Aichi,2019.04.19,12.609524
5,8,Aichi,2019.04.20,5.7316017
5,11,Aichi,2019.04.21,5.030395
5,11,Aichi,2019.04.22,5.030395
3,11,Aichi,2019.04.23,3.0182369
8,11,Aichi,2019.04.24,8.0486317
3,11,Aichi,2019.04.25,3.0182369
