date,prefecture,raw_daily,raw_weekly,medication_harmonized_daily
2017.02.26,Aichi,43,28,20.554544
2017.02.27,Aichi,14,28,6.6921773
2017.02.28,Aichi,44,28,21.032558
2017.03.01,Aichi,38,28,18.164482
2017.03.02,Aichi,18,28,8.604228
2017.03.03,Aichi,29,28,13.862367
2017.03.04,Aichi,34,28,16.25243
2017.03.05,Aichi,51,42,24.159016
2017.03.06,Aichi,32,42,15.158599
2017.03.07,Aichi,70,42,33.159435
2017.03.08,Aichi,43,42,20.369368
2017.03.09,Aichi,70,42,33.159435
2017.03.10,Aichi,38,42,18.000837
2017.03.11,Aichi,29,42,13.73748
2017.03.12,Aichi,42,43,21.130838
2017.03.13,Aichi,34,43,17.105917
2017.03.14,Aichi,52,43,26.161993
2017.03.15,Aichi,71,43,35.721184
2017.03.16,Aichi,54,43,27.168222
2017.03.17,Aichi,44,43,22.13707
2017.03.18,Aichi,24,43,12.074766
2017.03.19,Aichi,100,35,42.541584
2017.03.20,Aichi,38,35,16.165802
2017.03.21,Aichi,18,35,7.6574845
2017.03.22,Aichi,52,35,22.121622
2017.03.23,Aichi,43,35,18.292881
2017.03.24,Aichi,10,35,4.254158
2017.03.25,Aichi,48,35,20.41996
2017.03.26,Aichi,18,18,7.6533566
2017.03.27,Aichi,33,18,14.031155
2017.03.28,Aichi,38,18,16.157087
2017.03.29,Aichi,19,18,8.0785437
2017.03.30,Aichi,14,18,5.952611
2017.03.31,Aichi,19,18,8.0785437
2017.04.01,Aichi,18,18,7.6533566
2017.04.02,Aichi,9,18,4.6094079
2017.04.03,Aichi,43,18,22.022726
2017.04.04,Aichi,29,18,14.852536
2017.04.05,Aichi,19,18,9.7309723
2017.04.06,Aichi,14,18,7.1701899
2017.04.07,Aichi,14,18,7.1701899
2017.04.08,Aichi,4,18,2.0486257
2017.04.09,Aichi,14,20,6.9644232
2017.04.10,Aichi,29,20,14.426305
2017.04.11,Aichi,10,20,4.9745879
2017.04.12,Aichi,20,20,9.9491758
2017.04.13,Aichi,20,20,9.9491758
2017.04.14,Aichi,30,20,14.923763
2017.04.15,Aichi,28,20,13.928846
2017.04.16,Aichi,37,16,17.235983
2017.04.17,Aichi,19,16,8.8509102
2017.04.18,Aichi,15,16,6.9875603
2017.04.19,Aichi,10,16,4.6583738
2017.04.20,Aichi,19,16,8.8509102
2017.04.21,Aichi,15,16,6.9875603
2017.04.22,Aichi,14,16,6.5217233
2017.04.23,Aichi,5,15,2.6082041
2017.04.24,Aichi,10,15,5.2164083
2017.04.25,Aichi,34,15,17.735786
2017.04.26,Aichi,24,15,12.519379
2017.04.27,Aichi,15,15,7.8246121
2017.04.28,Aichi,10,15,5.2164083
2017.04.29,Aichi,10,15,5.2164083
2017.04.30,Aichi,10,7,5.3654485
2017.05.01,Aichi,14,7,7.5116277
2017.05.02,Aichi,10,7,5.3654485
2017.05.03,Aichi,10,7,5.3654485
2017.05.04,Aichi,0,7,0
2017.05.05,Aichi,5,7,2.6827242
2017.05.06,Aichi,0,7,0
2017.05.07,Aichi,0,8,0
2017.05.08,Aichi,14,8,6.8959203
2017.05.09,Aichi,9,8,4.4330916
2017.05.10,Aichi,19,8,9.3587494
2017.05.11,Aichi,10,8,4.9256573
2017.05.12,Aichi,9,8,4.4330916
2017.05.13,Aichi,0,8,0
2017.05.14,Aichi,5,9,3.1298447
2017.05.15,Aichi,9,9,5.6337209
2017.05.16,Aichi,0,9,0
2017.05.17,Aichi,10,9,6.2596893
2017.05.18,Aichi,5,9,3.1298447
2017.05.19,Aichi,15,9,9.389535
2017.05.20,Aichi,10,9,6.2596893
2017.05.21,Aichi,14,8,7.3798442
2017.05.22,Aichi,5,8,2.6356587
2017.05.23,Aichi,14,8,7.3798442
2017.05.24,Aichi,5,8,2.6356587
2017.05.25,Aichi,9,8,4.7441854
2017.05.26,Aichi,5,8,2.6356587
2017.05.27,Aichi,5,8,2.6356587
2017.05.28,Aichi,5,9,2.6408064
2017.05.29,Aichi,10,9,5.2816129
2017.05.30,Aichi,5,9,2.6408064
2017.05.31,Aichi,19,9,10.035064
2017.06.01,Aichi,5,9,2.6408064
2017.06.02,Aichi,10,9,5.2816129
2017.06.03,Aichi,10,9,5.2816129
2017.06.04,Aichi,10,5,4.3672252
2017.06.05,Aichi,19,5,8.2977285
2017.06.06,Aichi,5,5,2.1836126
2017.06.07,Aichi,9,5,3.9305029
2017.06.08,Aichi,0,5,0
2017.06.09,Aichi,0,5,0
2017.06.10,Aichi,0,5,0
2017.06.11,Aichi,0,7,0
2017.06.12,Aichi,9,7,6.2267442
2017.06.13,Aichi,5,7,3.4593022
2017.06.14,Aichi,5,7,3.4593022
2017.06.15,Aichi,9,7,6.2267442
2017.06.16,Aichi,5,7,3.4593022
2017.06.17,Aichi,5,7,3.4593022
2017.06.18,Aichi,19,4,10.57192
2017.06.19,Aichi,0,4,0
2017.06.20,Aichi,4,4,2.2256675
2017.06.21,Aichi,0,4,0
2017.06.22,Aichi,0,4,0
2017.06.23,Aichi,4,4,2.2256675
2017.06.24,Aichi,0,4,0
2017.06.25,Aichi,5,5,2.2356033
2017.06.26,Aichi,9,5,4.024086
2017.06.27,Aichi,0,5,0
2017.06.28,Aichi,9,5,4.024086
2017.06.29,Aichi,5,5,2.2356033
2017.06.30,Aichi,5,5,2.2356033
2017.07.01,Aichi,9,5,4.024086
2017.07.02,Aichi,40,4,4.8462114
2017.07.03,Aichi,21,4,2.5442612
2017.07.04,Aichi,0,4,0
2017.07.05,Aichi,21,4,2.5442612
2017.07.06,Aichi,0,4,0
2017.07.07,Aichi,21,4,2.5442612
2017.07.08,Aichi,21,4,2.5442612
2017.07.09,Aichi,0,3,0
2017.07.10,Aichi,62,3,6.7171292
2017.07.11,Aichi,0,3,0
2017.07.12,Aichi,0,3,0
2017.07.13,Aichi,21,3,2.2751567
2017.07.14,Aichi,0,3,0
2017.07.15,Aichi,21,3,2.2751567
2017.07.16,Aichi,0,2,0
2017.07.17,Aichi,40,2,3.6642087
2017.07.18,Aichi,0,2,0
2017.07.19,Aichi,0,2,0
