date,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2017.01.02,3,20,3.1317072
2017.01.03,4,20,4.1756096
2017.01.04,9,20,9.3951216
2017.01.05,9,20,9.3951216
2017.01.06,5,20,5.2195115
2017.01.07,7,20,7.3073163
2017.01.08,8,36,7.9015379
2017.01.09,13,36,12.839999
2017.01.10,9,36,8.8892307
2017.01.11,11,36,10.864614
2017.01.12,12,36,11.852307
2017.01.13,15,36,14.815384
2017.01.14,10,36,9.8769236
2017.01.15,5,19,5.2128201
2017.01.16,4,19,4.1702561
2017.01.17,4,19,4.1702561
2017.01.18,9,19,9.3830767
2017.01.19,4,19,4.1702561
2017.01.20,8,19,8.3405123
2017.01.21,5,19,5.2128201
2017.01.22,11,31,10.73147
2017.01.23,9,31,8.7802944
2017.01.24,4,31,3.9023528
2017.01.25,14,31,13.658234
2017.01.26,9,31,8.7802944
2017.01.27,14,31,13.658234
2017.01.28,7,31,6.8291168
2017.01.29,5,28,4.6812496
2017.01.30,8,28,7.4899993
2017.01.31,9,28,8.4262495
2017.02.01,18,28,16.852499
2017.02.02,4,28,3.7449996
2017.02.03,12,28,11.234999
2017.02.04,8,28,7.4899993
2017.02.05,8,32,7.8262854
2017.02.06,9,32,8.8045712
2017.02.07,9,32,8.8045712
2017.02.08,8,32,7.8262854
2017.02.09,17,32,16.630857
2017.02.10,11,32,10.761143
2017.02.11,8,32,7.8262854
2017.02.12,3,23,2.7860374
2017.02.13,12,23,11.14415
2017.02.14,7,23,6.5007544
2017.02.15,11,23,10.215471
2017.02.16,8,23,7.4294333
2017.02.17,9,23,8.3581123
2017.02.18,3,23,2.7860374
2017.02.19,1,100,.94690269
2017.02.20,11,100,10.41593
2017.02.21,8,100,7.5752215
2017.02.22,76,100,71.964607
2017.02.23,54,100,51.132748
2017.02.24,49,100,46.398235
2017.02.25,27,100,25.566374
2017.02.26,14,73,13.335853
2017.02.27,54,73,51.43829
2017.02.28,38,73,36.197315
2017.03.01,23,73,21.908901
2017.03.02,18,73,17.146097
2017.03.03,10,73,9.525609
2017.03.04,7,73,6.6679263
2017.03.05,8,37,7.5409517
2017.03.06,15,37,14.139285
2017.03.07,15,37,14.139285
2017.03.08,20,37,18.852379
2017.03.09,10,37,9.4261894
2017.03.10,8,37,7.5409517
2017.03.11,8,37,7.5409517
2017.03.12,13,32,11.869866
2017.03.13,13,32,11.869866
2017.03.14,6,32,5.4783998
2017.03.15,8,32,7.304533
2017.03.16,9,32,8.2175999
2017.03.17,12,32,10.9568
2017.03.18,14,32,12.782932
2017.03.19,7,31,6.8291168
2017.03.20,4,31,3.9023528
2017.03.21,8,31,7.8047056
2017.03.22,15,31,14.633822
2017.03.23,14,31,13.658234
2017.03.24,13,31,12.682647
2017.03.25,7,31,6.8291168
2017.03.26,3,22,2.8247998
2017.03.27,6,22,5.6495996
2017.03.28,8,22,7.5327997
2017.03.29,10,22,9.4159994
2017.03.30,11,22,10.357599
2017.03.31,5,22,4.7079997
2017.04.01,7,22,6.5911994
2017.04.02,7,32,6.947247
2017.04.03,10,32,9.9246378
2017.04.04,8,32,7.9397101
2017.04.05,13,32,12.902029
2017.04.06,14,32,13.894494
2017.04.07,12,32,11.909566
2017.04.08,5,32,4.9623189
2017.04.09,4,32,3.9131427
2017.04.10,10,32,9.7828569
2017.04.11,10,32,9.7828569
2017.04.12,7,32,6.8479996
2017.04.13,15,32,14.674285
2017.04.14,11,32,10.761143
2017.04.15,13,32,12.717714
2017.04.16,11,34,10.131139
2017.04.17,11,34,10.131139
2017.04.18,16,34,14.736202
2017.04.19,7,34,6.4470882
2017.04.20,8,34,7.3681011
2017.04.21,11,34,10.131139
2017.04.22,15,34,13.81519
2017.04.23,15,34,13.992307
2017.04.24,14,34,13.059486
2017.04.25,10,34,9.3282042
2017.04.26,10,34,9.3282042
2017.04.27,10,34,9.3282042
2017.04.28,15,34,13.992307
2017.04.29,4,34,3.7312818
2017.04.30,3,21,2.8087499
2017.05.01,6,21,5.6174998
2017.05.02,14,21,13.1075
2017.05.03,6,21,5.6174998
2017.05.04,3,21,2.8087499
2017.05.05,4,21,3.7449999
2017.05.06,12,21,11.235
2017.05.07,4,39,3.9275291
2017.05.08,19,39,18.655764
2017.05.09,13,39,12.76447
2017.05.10,14,39,13.746351
2017.05.11,18,39,17.673882
2017.05.12,10,39,9.8188229
2017.05.13,7,39,6.8731756
2017.05.14,8,36,7.6088886
2017.05.15,13,36,12.364445
2017.05.16,11,36,10.462222
2017.05.17,9,36,8.5599995
2017.05.18,16,36,15.217777
2017.05.19,12,36,11.413334
2017.05.20,12,36,11.413334
2017.05.21,8,37,7.8202472
2017.05.22,16,37,15.640494
2017.05.23,22,37,21.505678
2017.05.24,8,37,7.8202472
2017.05.25,10,37,9.7753086
2017.05.26,7,37,6.8427162
2017.05.27,10,37,9.7753086
2017.05.28,8,35,7.5848103
2017.05.29,11,35,10.429114
2017.05.30,12,35,11.377215
2017.05.31,14,35,13.273418
2017.06.01,10,35,9.4810123
2017.06.02,13,35,12.325316
2017.06.03,11,35,10.429114
2017.06.04,3,34,2.9497299
2017.06.05,17,34,16.715136
2017.06.06,10,34,9.8324327
2017.06.07,5,34,4.9162164
2017.06.08,15,34,14.748649
2017.06.09,15,34,14.748649
2017.06.10,9,34,8.8491898
2017.06.11,9,100,9
2017.06.12,9,100,9
2017.06.13,17,100,17
2017.06.14,100,100,100
2017.06.15,46,100,45.999996
2017.06.16,16,100,16
2017.06.17,17,100,17
2017.06.18,20,42,19.539129
2017.06.19,15,42,14.654346
2017.06.20,11,42,10.746521
2017.06.21,14,42,13.67739
2017.06.22,18,42,17.585217
2017.06.23,10,42,9.7695646
2017.06.24,4,42,3.9078257
2017.06.25,9,43,8.9051609
2017.06.26,13,43,12.86301
2017.06.27,11,43,10.884086
2017.06.28,18,43,17.810322
2017.06.29,14,43,13.852473
2017.06.30,19,43,18.799786
2017.07.01,9,43,8.9051609
2017.07.02,17,36,4.850666
2017.07.03,47,36,13.410666
2017.07.04,29,36,8.2746658
2017.07.05,55,36,15.693333
2017.07.06,34,36,9.7013321
2017.07.07,61,36,17.405333
2017.07.08,27,36,7.7039995
2017.07.09,17,41,5.0053015
2017.07.10,43,41,12.660469
2017.07.11,47,41,13.838187
2017.07.12,34,41,10.010603
2017.07.13,100,41,29.442951
2017.07.14,39,41,11.482751
2017.07.15,18,41,5.2997313
2017.07.16,39,33,11.24155
2017.07.17,25,33,7.2061219
2017.07.18,34,33,9.8003263
2017.07.19,26,33,7.4943671
2017.07.20,47,33,13.547509
2017.07.21,30,33,8.6473465
2017.07.22,44,33,12.682775
2017.07.23,21,32,6.3914666
2017.07.24,29,32,8.8263111
2017.07.25,45,32,13.695999
2017.07.26,29,32,8.8263111
2017.07.27,12,32,3.6522665
2017.07.28,46,32,14.000355
2017.07.29,43,32,13.087289
2017.07.30,22,39,6.4880567
2017.07.31,25,39,7.3727913
2017.08.01,32,39,9.4371729
2017.08.02,43,39,12.681202
2017.08.03,61,39,17.989611
2017.08.04,69,39,20.348904
2017.08.05,31,39,9.1422615
2017.08.06,34,30,10.105555
2017.08.07,34,30,10.105555
2017.08.08,27,30,8.0249996
2017.08.09,44,30,13.077778
2017.08.10,29,30,8.6194439
2017.08.11,26,30,7.727777
2017.08.12,22,30,6.5388889
2017.08.13,26,30,7.518919
2017.08.14,41,30,11.856757
2017.08.15,28,30,8.0972977
2017.08.16,32,30,9.2540541
2017.08.17,28,30,8.0972977
2017.08.18,41,30,11.856757
2017.08.19,26,30,7.518919
2017.08.20,13,41,3.7768874
2017.08.21,33,41,9.5874834
2017.08.22,73,41,21.208675
2017.08.23,53,41,15.398079
2017.08.24,62,41,18.012848
2017.08.25,29,41,8.4253635
2017.08.26,39,41,11.330663
2017.08.27,17,37,5.0603757
2017.08.28,29,37,8.6324053
2017.08.29,59,37,17.562481
2017.08.30,54,37,16.074135
2017.08.31,42,37,12.502105
2017.09.01,43,37,12.799773
2017.09.02,22,37,6.5487218
2017.09.03,21,36,6.1281815
2017.09.04,34,36,9.9218178
2017.09.05,59,36,17.217272
2017.09.06,38,36,11.08909
2017.09.07,42,36,12.256363
2017.09.08,39,36,11.380909
2017.09.09,31,36,9.0463629
2017.09.10,34,37,9.8252554
2017.09.11,41,37,11.848102
2017.09.12,49,37,14.159926
2017.09.13,45,37,13.004014
2017.09.14,25,37,7.224452
2017.09.15,68,37,19.650511
2017.09.16,12,37,3.467737
2017.09.17,51,42,14.739163
2017.09.18,25,42,7.2250805
2017.09.19,34,42,9.8261089
2017.09.20,64,42,18.496206
2017.09.21,47,42,13.583151
2017.09.22,47,42,13.583151
2017.09.23,43,42,12.427139
2017.09.24,22,34,6.4028792
2017.09.25,42,34,12.223679
2017.09.26,42,34,12.223679
2017.09.27,34,34,9.89536
2017.09.28,52,34,15.134079
2017.09.29,31,34,9.0222397
2017.09.30,27,34,7.8580794
2017.10.01,17,34,4.9675498
2017.10.02,30,34,8.7662649
2017.10.03,55,34,16.071484
2017.10.04,52,34,15.194859
2017.10.05,39,34,11.396144
2017.10.06,30,34,8.7662649
2017.10.07,26,34,7.5974293
2017.10.08,27,37,7.9770889
2017.10.09,42,37,12.408806
2017.10.10,46,37,13.590596
2017.10.11,42,37,12.408806
2017.10.12,29,37,8.5679846
2017.10.13,56,37,16.545074
2017.10.14,26,37,7.6816416
2017.10.15,39,37,11.148086
2017.10.16,43,37,12.291478
2017.10.17,56,37,16.007507
2017.10.18,27,37,7.717905
2017.10.19,39,37,11.148086
2017.10.20,43,37,12.291478
2017.10.21,30,37,8.5754509
2017.10.22,25,44,7.333333
2017.10.23,57,44,16.719999
2017.10.24,39,44,11.440001
2017.10.25,69,44,20.239998
2017.10.26,53,44,15.546667
2017.10.27,61,44,17.893333
