date,prefecture,raw_daily,raw_weekly,medications2_harmonized_daily
2017.01.23,Aichi,6,9,2.9175
2017.01.24,Aichi,12,9,5.835
2017.01.25,Aichi,6,9,2.9175
2017.01.26,Aichi,13,9,6.32125
2017.01.27,Aichi,25,9,12.156251
2017.01.28,Aichi,12,9,5.835
2017.01.29,Aichi,12,12,5.3655176
2017.01.30,Aichi,6,12,2.6827588
2017.01.31,Aichi,19,12,8.4954033
2017.02.01,Aichi,19,12,8.4954033
2017.02.02,Aichi,18,12,8.0482759
2017.02.03,Aichi,12,12,5.3655176
2017.02.04,Aichi,30,12,13.413794
2017.02.05,Aichi,17,13,6.9723439
2017.02.06,Aichi,36,13,14.764964
2017.02.07,Aichi,18,13,7.3824821
2017.02.08,Aichi,12,13,4.9216547
2017.02.09,Aichi,18,13,7.3824821
2017.02.10,Aichi,24,13,9.8433094
2017.02.11,Aichi,12,13,4.9216547
2017.02.12,Aichi,0,15,0
2017.02.13,Aichi,30,15,13.6014
2017.02.14,Aichi,12,15,5.4405594
2017.02.15,Aichi,31,15,14.054779
2017.02.16,Aichi,24,15,10.881119
2017.02.17,Aichi,28,15,12.694639
2017.02.18,Aichi,18,15,8.16084
2017.02.19,Aichi,17,25,7.6539359
2017.02.20,Aichi,18,25,8.104167
2017.02.21,Aichi,30,25,13.506945
2017.02.22,Aichi,36,25,16.208334
2017.02.23,Aichi,54,25,24.312502
2017.02.24,Aichi,49,25,22.061344
2017.02.25,Aichi,36,25,16.208334
2017.02.26,Aichi,42,27,19.684338
2017.02.27,Aichi,18,27,8.4361448
2017.02.28,Aichi,48,27,22.496387
2017.03.01,Aichi,47,27,22.027712
2017.03.02,Aichi,28,27,13.122892
2017.03.03,Aichi,30,27,14.060242
2017.03.04,Aichi,36,27,16.87229
2017.03.05,Aichi,46,39,20.956938
2017.03.06,Aichi,40,39,18.223425
2017.03.07,Aichi,92,39,41.913876
2017.03.08,Aichi,47,39,21.412523
2017.03.09,Aichi,69,39,31.435408
2017.03.10,Aichi,41,39,18.67901
2017.03.11,Aichi,35,39,15.945497
2017.03.12,Aichi,51,39,21.764307
2017.03.13,Aichi,42,39,17.923546
2017.03.14,Aichi,70,39,29.872578
2017.03.15,Aichi,94,39,40.114605
2017.03.16,Aichi,54,39,23.044559
2017.03.17,Aichi,54,39,23.044559
2017.03.18,Aichi,30,39,12.802533
2017.03.19,Aichi,100,34,44.667343
2017.03.20,Aichi,47,34,20.993652
2017.03.21,Aichi,11,34,4.9134078
2017.03.22,Aichi,59,34,26.353733
2017.03.23,Aichi,41,34,18.31361
2017.03.24,Aichi,12,34,5.3600812
2017.03.25,Aichi,59,34,26.353733
2017.03.26,Aichi,22,15,10.0446
2017.03.27,Aichi,23,15,10.501174
2017.03.28,Aichi,29,15,13.24061
2017.03.29,Aichi,11,15,5.0223002
2017.03.30,Aichi,11,15,5.0223002
2017.03.31,Aichi,23,15,10.501174
2017.04.01,Aichi,23,15,10.501174
2017.04.02,Aichi,17,17,7.807014
2017.04.03,Aichi,52,17,23.880278
2017.04.04,Aichi,35,17,16.073265
2017.04.05,Aichi,17,17,7.807014
2017.04.06,Aichi,17,17,7.807014
2017.04.07,Aichi,11,17,5.0515971
2017.04.08,Aichi,11,17,5.0515971
2017.04.09,Aichi,23,19,9.6862106
2017.04.10,Aichi,36,19,15.161025
2017.04.11,Aichi,12,19,5.0536752
2017.04.12,Aichi,24,19,10.10735
2017.04.13,Aichi,30,19,12.634188
2017.04.14,Aichi,36,19,15.161025
2017.04.15,Aichi,34,19,14.318747
2017.04.16,Aichi,45,16,20.473686
2017.04.17,Aichi,23,16,10.464328
2017.04.18,Aichi,18,16,8.1894751
2017.04.19,Aichi,12,16,5.4596496
2017.04.20,Aichi,24,16,10.919299
2017.04.21,Aichi,12,16,5.4596496
2017.04.22,Aichi,18,16,8.1894751
2017.04.23,Aichi,12,13,5.1470742
2017.04.24,Aichi,18,13,7.7206111
2017.04.25,Aichi,36,13,15.441222
2017.04.26,Aichi,23,13,9.8652258
2017.04.27,Aichi,18,13,7.7206111
2017.04.28,Aichi,12,13,5.1470742
2017.04.29,Aichi,12,13,5.1470742
2017.04.30,Aichi,17,5,5.7404518
2017.05.01,Aichi,12,5,4.0520835
2017.05.02,Aichi,17,5,5.7404518
2017.05.03,Aichi,12,5,4.0520835
2017.05.04,Aichi,0,5,0
2017.05.05,Aichi,6,5,2.0260417
2017.05.06,Aichi,0,5,0
2017.05.07,Aichi,0,9,0
2017.05.08,Aichi,23,9,9.9411116
2017.05.09,Aichi,11,9,4.7544451
2017.05.10,Aichi,23,9,9.9411116
2017.05.11,Aichi,17,9,7.3477783
2017.05.12,Aichi,11,9,4.7544451
2017.05.13,Aichi,5,9,2.1611114
2017.05.14,Aichi,0,5,0
2017.05.15,Aichi,17,5,5.7404518
2017.05.16,Aichi,0,5,0
2017.05.17,Aichi,18,5,6.0781255
2017.05.18,Aichi,6,5,2.0260417
2017.05.19,Aichi,6,5,2.0260417
2017.05.20,Aichi,17,5,5.7404518
2017.05.21,Aichi,17,5,7.9867158
2017.05.22,Aichi,0,5,0
2017.05.23,Aichi,12,5,5.6376815
2017.05.24,Aichi,0,5,0
2017.05.25,Aichi,11,5,5.1678743
2017.05.26,Aichi,6,5,2.8188407
2017.05.27,Aichi,0,5,0
2017.05.28,Aichi,12,8,5.3196583
2017.05.29,Aichi,12,8,5.3196583
2017.05.30,Aichi,6,8,2.6598291
2017.05.31,Aichi,12,8,5.3196583
2017.06.01,Aichi,6,8,2.6598291
2017.06.02,Aichi,18,8,7.9794874
2017.06.03,Aichi,12,8,5.3196583
2017.06.04,Aichi,12,5,5.6376815
2017.06.05,Aichi,23,5,10.805556
2017.06.06,Aichi,0,5,0
2017.06.07,Aichi,11,5,5.1678743
2017.06.08,Aichi,0,5,0
2017.06.09,Aichi,0,5,0
2017.06.10,Aichi,0,5,0
2017.06.11,Aichi,0,5,0
2017.06.12,Aichi,17,5,6.2269306
2017.06.13,Aichi,6,5,2.1977401
2017.06.14,Aichi,12,5,4.3954802
2017.06.15,Aichi,12,5,4.3954802
2017.06.16,Aichi,6,5,2.1977401
2017.06.17,Aichi,6,5,2.1977401
2017.06.18,Aichi,11,3,5.2827163
2017.06.19,Aichi,0,3,0
2017.06.20,Aichi,11,3,5.2827163
2017.06.21,Aichi,0,3,0
2017.06.22,Aichi,0,3,0
2017.06.23,Aichi,5,3,2.4012346
2017.06.24,Aichi,0,3,0
2017.06.25,Aichi,16,6,6.1019611
2017.06.26,Aichi,11,6,4.1950979
2017.06.27,Aichi,6,6,2.2882354
2017.06.28,Aichi,6,6,2.2882354
2017.06.29,Aichi,6,6,2.2882354
2017.06.30,Aichi,12,6,4.5764709
2017.07.01,Aichi,11,6,4.1950979
2017.07.02,Aichi,21,4,5.5856414
2017.07.03,Aichi,22,4,5.851624
2017.07.04,Aichi,0,4,0
2017.07.05,Aichi,0,4,0
2017.07.06,Aichi,0,4,0
2017.07.07,Aichi,0,4,0
2017.07.08,Aichi,22,4,5.851624
2017.07.09,Aichi,0,2,0
2017.07.10,Aichi,44,2,8.6444445
2017.07.11,Aichi,0,2,0
2017.07.12,Aichi,0,2,0
2017.07.13,Aichi,0,2,0
2017.07.14,Aichi,0,2,0
2017.07.15,Aichi,0,2,0
2017.07.16,Aichi,0,4,0
2017.07.17,Aichi,21,4,8.4434109
2017.07.18,Aichi,0,4,0
2017.07.19,Aichi,0,4,0
2017.07.20,Aichi,22,4,8.845479
2017.07.21,Aichi,0,4,0
2017.07.22,Aichi,0,4,0
2017.07.23,Aichi,21,5,4.2414336
2017.07.24,Aichi,0,5,0
2017.07.25,Aichi,0,5,0
2017.07.26,Aichi,21,5,4.2414336
2017.07.27,Aichi,21,5,4.2414336
2017.07.28,Aichi,22,5,4.4434066
2017.07.29,Aichi,22,5,4.4434066
2017.07.30,Aichi,0,3,0
2017.07.31,Aichi,0,3,0
2017.08.01,Aichi,21,3,6.3325582
2017.08.02,Aichi,0,3,0
2017.08.03,Aichi,0,3,0
2017.08.04,Aichi,0,3,0
2017.08.05,Aichi,22,3,6.634109
2017.08.06,Aichi,21,6,5.1866674
2017.08.07,Aichi,0,6,0
2017.08.08,Aichi,0,6,0
2017.08.09,Aichi,20,6,4.939683
2017.08.10,Aichi,42,6,10.373335
2017.08.11,Aichi,0,6,0
2017.08.12,Aichi,22,6,5.433651
