date,prefecture,raw_daily,raw_weekly,suicide2_harmonized_daily
2017.03.09,Aichi,31,45,14.443432
2017.03.10,Aichi,23,45,10.716095
2017.03.11,Aichi,27,45,12.579763
2017.03.12,Aichi,31,34,13.910841
2017.03.13,Aichi,26,34,11.667157
2017.03.14,Aichi,17,34,7.6285253
2017.03.15,Aichi,31,34,13.910841
2017.03.16,Aichi,43,34,19.295683
2017.03.17,Aichi,15,34,6.7310524
2017.03.18,Aichi,19,34,8.5259991
2017.03.19,Aichi,38,45,17.781496
2017.03.20,Aichi,23,45,10.762485
2017.03.21,Aichi,27,45,12.634222
2017.03.22,Aichi,33,45,15.441826
2017.03.23,Aichi,36,45,16.845627
2017.03.24,Aichi,34,45,15.90976
2017.03.25,Aichi,40,45,18.717365
2017.03.26,Aichi,32,39,14.412371
2017.03.27,Aichi,35,39,15.763531
2017.03.28,Aichi,21,39,9.4581184
2017.03.29,Aichi,33,39,14.862757
2017.03.30,Aichi,39,39,17.565077
2017.03.31,Aichi,20,39,9.0077314
2017.04.01,Aichi,28,39,12.610825
2017.04.02,Aichi,25,33,11.324005
2017.04.03,Aichi,25,33,11.324005
2017.04.04,Aichi,19,33,8.606245
2017.04.05,Aichi,21,33,9.5121651
2017.04.06,Aichi,26,33,11.776965
2017.04.07,Aichi,22,33,9.9651251
2017.04.08,Aichi,37,33,16.759527
2017.04.09,Aichi,16,39,7.4571471
2017.04.10,Aichi,34,39,15.846438
2017.04.11,Aichi,29,39,13.51608
2017.04.12,Aichi,41,39,19.10894
2017.04.13,Aichi,15,39,6.9910755
2017.04.14,Aichi,34,39,15.846438
2017.04.15,Aichi,32,39,14.914294
2017.04.16,Aichi,18,37,8.5094318
2017.04.17,Aichi,27,37,12.764147
2017.04.18,Aichi,38,37,17.964355
2017.04.19,Aichi,23,37,10.873162
2017.04.20,Aichi,25,37,11.818655
2017.04.21,Aichi,30,37,14.182386
2017.04.22,Aichi,27,37,12.764147
2017.04.23,Aichi,25,39,11.368982
2017.04.24,Aichi,38,39,17.280853
2017.04.25,Aichi,34,39,15.461816
2017.04.26,Aichi,25,39,11.368982
2017.04.27,Aichi,21,39,9.5499449
2017.04.28,Aichi,39,39,17.735611
2017.04.29,Aichi,24,39,10.914223
2017.04.30,Aichi,29,48,13.537126
2017.05.01,Aichi,23,48,10.736341
2017.05.02,Aichi,27,48,12.60353
2017.05.03,Aichi,23,48,10.736341
2017.05.04,Aichi,37,48,17.271505
2017.05.05,Aichi,71,48,33.14262
2017.05.06,Aichi,37,48,17.271505
2017.05.07,Aichi,50,43,22.454056
2017.05.08,Aichi,56,43,25.148542
2017.05.09,Aichi,10,43,4.4908113
2017.05.10,Aichi,24,43,10.777946
2017.05.11,Aichi,29,43,13.023353
2017.05.12,Aichi,32,43,14.370596
2017.05.13,Aichi,29,43,13.023353
2017.05.14,Aichi,22,40,10.261234
2017.05.15,Aichi,41,40,19.123209
2017.05.16,Aichi,36,40,16.791111
2017.05.17,Aichi,21,40,9.7948141
2017.05.18,Aichi,27,40,12.593333
2017.05.19,Aichi,36,40,16.791111
2017.05.20,Aichi,23,40,10.727654
2017.05.21,Aichi,21,36,9.7632189
2017.05.22,Aichi,35,36,16.272032
2017.05.23,Aichi,27,36,12.552711
2017.05.24,Aichi,23,36,10.693049
2017.05.25,Aichi,33,36,15.342201
2017.05.26,Aichi,27,36,12.552711
2017.05.27,Aichi,20,36,9.2983036
2017.05.28,Aichi,31,48,14.47072
2017.05.29,Aichi,23,48,10.736341
2017.05.30,Aichi,34,48,15.871114
2017.05.31,Aichi,54,48,25.20706
2017.06.01,Aichi,50,48,23.339872
2017.06.02,Aichi,17,48,7.9355569
2017.06.03,Aichi,38,48,17.738302
2017.06.04,Aichi,37,48,17.132776
2017.06.05,Aichi,34,48,15.743633
2017.06.06,Aichi,50,48,23.152403
2017.06.07,Aichi,35,48,16.20668
2017.06.08,Aichi,37,48,17.132776
2017.06.09,Aichi,29,48,13.428393
2017.06.10,Aichi,27,48,12.502297
2017.06.11,Aichi,32,42,14.877286
2017.06.12,Aichi,32,42,14.877286
2017.06.13,Aichi,23,42,10.693049
2017.06.14,Aichi,25,42,11.62288
2017.06.15,Aichi,41,42,19.061523
2017.06.16,Aichi,44,42,20.456268
2017.06.17,Aichi,20,42,9.2983036
2017.06.18,Aichi,34,38,15.674059
2017.06.19,Aichi,22,38,10.142038
2017.06.20,Aichi,31,38,14.291055
2017.06.21,Aichi,17,38,7.8370295
2017.06.22,Aichi,23,38,10.603041
2017.06.23,Aichi,38,38,17.518066
2017.06.24,Aichi,33,38,15.213058
2017.06.25,Aichi,23,34,10.612499
2017.06.26,Aichi,32,34,14.765216
2017.06.27,Aichi,43,34,19.840757
2017.06.28,Aichi,28,34,12.919563
2017.06.29,Aichi,14,34,6.4597816
2017.06.30,Aichi,15,34,6.9211946
2017.07.01,Aichi,22,34,10.151086
2017.07.02,Aichi,13,28,9.2036896
2017.07.03,Aichi,16,28,11.327619
2017.07.04,Aichi,14,28,9.9116659
2017.07.05,Aichi,13,28,9.2036896
2017.07.06,Aichi,16,28,11.327619
2017.07.07,Aichi,15,28,10.619642
2017.07.08,Aichi,8,28,5.6638093
2017.07.09,Aichi,18,36,12.758492
2017.07.10,Aichi,18,36,12.758492
2017.07.11,Aichi,16,36,11.340881
2017.07.12,Aichi,16,36,11.340881
2017.07.13,Aichi,16,36,11.340881
2017.07.14,Aichi,21,36,14.884907
2017.07.15,Aichi,17,36,12.049686
2017.07.16,Aichi,8,57,5.7048965
2017.07.17,Aichi,19,57,13.549129
2017.07.18,Aichi,24,57,17.114691
2017.07.19,Aichi,17,57,12.122906
2017.07.20,Aichi,39,57,27.811371
2017.07.21,Aichi,57,57,40.647388
2017.07.22,Aichi,28,57,19.967138
2017.07.23,Aichi,22,39,15.853609
2017.07.24,Aichi,25,39,18.015465
2017.07.25,Aichi,22,39,15.853609
2017.07.26,Aichi,20,39,14.412372
2017.07.27,Aichi,15,39,10.809278
2017.07.28,Aichi,13,39,9.368041
2017.07.29,Aichi,13,39,9.368041
2017.07.30,Aichi,15,41,10.942725
2017.07.31,Aichi,19,41,13.860785
2017.08.01,Aichi,15,41,10.942725
2017.08.02,Aichi,27,41,19.696905
2017.08.03,Aichi,20,41,14.590301
2017.08.04,Aichi,18,41,13.131269
2017.08.05,Aichi,21,41,15.319815
2017.08.06,Aichi,11,35,7.7713766
2017.08.07,Aichi,8,35,5.6519103
2017.08.08,Aichi,16,35,11.303821
2017.08.09,Aichi,19,35,13.423287
2017.08.10,Aichi,29,35,20.488174
2017.08.11,Aichi,19,35,13.423287
2017.08.12,Aichi,17,35,12.010309
2017.08.13,Aichi,28,37,20.232002
2017.08.14,Aichi,18,37,13.006287
2017.08.15,Aichi,7,37,5.0580006
2017.08.16,Aichi,18,37,13.006287
2017.08.17,Aichi,20,37,14.451429
2017.08.18,Aichi,15,37,10.838572
2017.08.19,Aichi,17,37,12.283714
2017.08.20,Aichi,29,44,20.709667
2017.08.21,Aichi,18,44,12.854277
2017.08.22,Aichi,16,44,11.426023
2017.08.23,Aichi,23,44,16.42491
2017.08.24,Aichi,24,44,17.139034
2017.08.25,Aichi,24,44,17.139034
2017.08.26,Aichi,14,44,9.9977703
2017.08.27,Aichi,21,56,15.18723
2017.08.28,Aichi,22,56,15.910431
2017.08.29,Aichi,30,56,21.696043
2017.08.30,Aichi,43,56,31.097662
2017.08.31,Aichi,18,56,13.017626
2017.09.01,Aichi,34,56,24.58885
2017.09.02,Aichi,18,56,13.017626
2017.09.03,Aichi,20,37,14.569882
2017.09.04,Aichi,25,37,18.212353
2017.09.05,Aichi,26,37,18.940847
2017.09.06,Aichi,14,37,10.198918
