date,花粉症_trend,prefecture
2019-12-15,0.0,Hokkaido
2019-12-16,0.0,Hokkaido
2019-12-17,0.0,Hokkaido
2019-12-18,0.0,Hokkaido
2019-12-19,0.0,Hokkaido
2019-12-20,0.0,Hokkaido
2019-12-21,0.0,Hokkaido
2019-12-22,0.0,Hokkaido
2019-12-23,0.0,Hokkaido
2019-12-24,0.0,Hokkaido
2019-12-25,0.0,Hokkaido
2019-12-26,0.0,Hokkaido
2019-12-27,0.0,Hokkaido
2019-12-28,0.0,Hokkaido
2019-12-29,0.0,Hokkaido
2019-12-30,0.0,Hokkaido
2019-12-31,0.0,Hokkaido
2020-01-01,0.0,Hokkaido
2020-01-02,6.060880902443171,Hokkaido
2020-01-03,0.0,Hokkaido
2020-01-04,5.877217844793377,Hokkaido
2020-01-05,0.0,Hokkaido
2020-01-06,0.0,Hokkaido
2020-01-07,0.0,Hokkaido
2020-01-08,0.0,Hokkaido
2020-01-09,0.0,Hokkaido
2020-01-10,0.0,Hokkaido
2020-01-11,0.0,Hokkaido
2020-01-12,0.0,Hokkaido
2020-01-13,0.0,Hokkaido
2020-01-14,9.699705232129697,Hokkaido
2020-01-15,0.0,Hokkaido
2020-01-16,0.0,Hokkaido
2020-01-17,0.0,Hokkaido
2020-01-18,11.191967575534264,Hokkaido
2020-01-19,0.0,Hokkaido
2020-01-20,5.969049373618274,Hokkaido
2020-01-21,0.0,Hokkaido
2020-01-22,0.0,Hokkaido
2020-01-23,0.0,Hokkaido
2020-01-24,5.969049373618274,Hokkaido
2020-01-25,0.0,Hokkaido
2020-01-26,0.0,Hokkaido
2020-01-27,0.0,Hokkaido
2020-01-28,0.0,Hokkaido
2020-01-29,0.0,Hokkaido
2020-01-30,31.17170228445099,Hokkaido
2020-01-31,0.0,Hokkaido
2020-02-01,10.611643330876932,Hokkaido
2020-02-02,0.0,Hokkaido
2020-02-03,0.0,Hokkaido
2020-02-04,0.0,Hokkaido
2020-02-05,0.0,Hokkaido
2020-02-06,0.0,Hokkaido
2020-02-07,0.0,Hokkaido
2020-02-08,11.938098747236548,Hokkaido
2020-02-09,23.613821697830538,Hokkaido
2020-02-10,12.594038238842952,Hokkaido
2020-02-11,11.806910848915269,Hokkaido
2020-02-12,11.806910848915269,Hokkaido
2020-02-13,11.806910848915269,Hokkaido
2020-02-14,0.0,Hokkaido
2020-02-15,0.0,Hokkaido
2020-02-16,16.58466412789748,Hokkaido
2020-02-17,0.0,Hokkaido
2020-02-18,17.15654909782498,Hokkaido
2020-02-19,9.15015951883999,Hokkaido
2020-02-20,9.15015951883999,Hokkaido
2020-02-21,17.72843406775248,Hokkaido
2020-02-22,25.73482364673747,Hokkaido
2020-02-23,24.046741762290765,Hokkaido
2020-02-24,24.619283232821495,Hokkaido
2020-02-25,34.92502970237468,Hokkaido
2020-02-26,16.60370264539124,Hokkaido
2020-02-27,8.015580587430254,Hokkaido
2020-02-28,24.046741762290765,Hokkaido
2020-02-29,8.015580587430254,Hokkaido
2020-03-01,7.373531579175517,Hokkaido
2020-03-02,52.66808270839655,Hokkaido
2020-03-03,44.767870302137055,Hokkaido
2020-03-04,22.647275564610513,Hokkaido
2020-03-05,15.273743985434999,Hokkaido
2020-03-06,22.647275564610513,Hokkaido
2020-03-07,22.647275564610513,Hokkaido
2020-03-08,9.02945180670222,Hokkaido
2020-03-09,18.05890361340444,Hokkaido
2020-03-10,26.44339457677079,Hokkaido
2020-03-11,26.44339457677079,Hokkaido
2020-03-12,27.088355420106662,Hokkaido
2020-03-13,26.44339457677079,Hokkaido
2020-03-14,18.703864456740313,Hokkaido
2020-03-15,29.893191039767025,Hokkaido
2020-03-16,9.732666850156704,Hokkaido
2020-03-17,28.50281006117321,Hokkaido
2020-03-18,29.198000550470116,Hokkaido
2020-03-19,9.732666850156704,Hokkaido
2020-03-20,37.540286422033006,Hokkaido
2020-03-21,28.50281006117321,Hokkaido
2020-03-22,13.839069885331545,Hokkaido
2020-03-23,27.67813977066309,Hokkaido
2020-03-24,28.666644762472483,Hokkaido
2020-03-25,13.839069885331545,Hokkaido
2020-03-26,28.666644762472483,Hokkaido
2020-03-27,13.839069885331545,Hokkaido
2020-03-28,28.666644762472483,Hokkaido
2020-03-29,33.288929199025,Hokkaido
2020-03-30,30.993140978402582,Hokkaido
2020-03-31,16.070517544356893,Hokkaido
2020-04-01,49.35944674338189,Hokkaido
2020-04-02,33.288929199025,Hokkaido
2020-04-03,16.070517544356893,Hokkaido
2020-04-04,0.0,Hokkaido
2020-04-05,13.306797966664943,Hokkaido
2020-04-06,26.613595933329886,Hokkaido
2020-04-07,13.306797966664943,Hokkaido
2020-04-08,14.257283535712439,Hokkaido
2020-04-09,40.87087946904233,Hokkaido
2020-04-10,14.257283535712439,Hokkaido
2020-04-11,26.613595933329886,Hokkaido
2020-04-12,11.08066624052895,Hokkaido
2020-04-13,11.08066624052895,Hokkaido
2020-04-14,34.033474881624635,Hokkaido
2020-04-15,34.033474881624635,Hokkaido
2020-04-16,11.08066624052895,Hokkaido
2020-04-17,21.36985632102012,Hokkaido
2020-04-18,20.57838016098234,Hokkaido
2020-04-19,7.381572507833285,Hokkaido
2020-04-20,7.1081809334690895,Hokkaido
2020-04-21,0.0,Hokkaido
2020-04-22,3.5540904667345448,Hokkaido
2020-04-23,3.2806988923703493,Hokkaido
2020-04-24,10.935662974567832,Hokkaido
2020-04-25,3.5540904667345448,Hokkaido
2020-04-26,0.0,Hokkaido
2020-04-27,29.34223708941568,Hokkaido
2020-04-28,15.257963286496153,Hokkaido
2020-04-29,7.628981643248077,Hokkaido
2020-04-30,0.0,Hokkaido
2020-05-01,29.34223708941568,Hokkaido
2020-05-02,22.886944929744228,Hokkaido
2020-05-03,43.58171305481549,Hokkaido
2020-05-04,16.26183322940876,Hokkaido
2020-05-05,31.222719800464827,Hokkaido
2020-05-06,16.26183322940876,Hokkaido
2020-05-07,8.456153279292558,Hokkaido
2020-05-08,26.01893316705402,Hokkaido
2020-05-09,61.144492942576946,Hokkaido
2020-05-10,80.11555943941931,Hokkaido
2020-05-11,22.009769076763547,Hokkaido
2020-05-12,45.78031967966818,Hokkaido
2020-05-13,45.78031967966818,Hokkaido
2020-05-14,46.660710442738726,Hokkaido
2020-05-15,46.660710442738726,Hokkaido
2020-05-16,11.445079919917045,Hokkaido
2020-05-17,16.93347340033553,Hokkaido
2020-05-18,5.503378855109047,Hokkaido
2020-05-19,22.860189090452966,Hokkaido
2020-05-20,17.356810235343918,Hokkaido
2020-05-21,22.860189090452966,Hokkaido
