date,prefecture,raw_daily,raw_weekly,mask_harmonized_daily
2017.01.10,Aichi,76,73,62.357681
2017.01.11,Aichi,88,73,72.203636
2017.01.12,Aichi,93,73,76.306114
2017.01.13,Aichi,53,73,43.486279
2017.01.14,Aichi,48,73,39.383801
2017.01.15,Aichi,50,69,41.799553
2017.01.16,Aichi,76,69,63.53532
2017.01.17,Aichi,91,69,76.075188
2017.01.18,Aichi,73,69,61.027344
2017.01.19,Aichi,38,69,31.76766
2017.01.20,Aichi,56,69,46.815498
2017.01.21,Aichi,65,69,54.339417
2017.01.22,Aichi,71,77,57.303432
2017.01.23,Aichi,72,77,58.110523
2017.01.24,Aichi,75,77,60.531788
2017.01.25,Aichi,91,77,73.445236
2017.01.26,Aichi,65,77,52.460884
2017.01.27,Aichi,94,77,75.866508
2017.01.28,Aichi,51,77,41.161617
2017.01.29,Aichi,69,61,52.636688
2017.01.30,Aichi,52,61,39.668232
2017.01.31,Aichi,46,61,35.091129
2017.02.01,Aichi,54,61,41.193932
2017.02.02,Aichi,81,61,61.790897
2017.02.03,Aichi,73,61,55.688091
2017.02.04,Aichi,60,61,45.771038
2017.02.05,Aichi,81,71,62.82217
2017.02.06,Aichi,80,71,62.046585
2017.02.07,Aichi,91,71,70.577995
2017.02.08,Aichi,88,71,68.251244
2017.02.09,Aichi,56,71,43.43261
2017.02.10,Aichi,76,71,58.94426
2017.02.11,Aichi,26,71,20.16514
2017.02.12,Aichi,56,67,42.522671
2017.02.13,Aichi,60,67,45.560005
2017.02.14,Aichi,78,67,59.228001
2017.02.15,Aichi,82,67,62.265335
2017.02.16,Aichi,94,67,71.377342
2017.02.17,Aichi,64,67,48.597336
2017.02.18,Aichi,46,67,34.929337
2017.02.19,Aichi,55,63,46.313515
2017.02.20,Aichi,79,63,66.523041
2017.02.21,Aichi,41,63,34.52462
2017.02.22,Aichi,42,63,35.366684
2017.02.23,Aichi,78,63,65.680984
2017.02.24,Aichi,60,63,50.523834
2017.02.25,Aichi,52,63,43.787323
2017.02.26,Aichi,75,63,56.741722
2017.02.27,Aichi,76,63,57.49828
2017.02.28,Aichi,68,63,51.445831
2017.03.01,Aichi,66,63,49.932716
2017.03.02,Aichi,48,63,36.314705
2017.03.03,Aichi,51,63,38.58437
2017.03.04,Aichi,69,63,52.202381
2017.03.05,Aichi,35,64,28.272852
2017.03.06,Aichi,89,64,71.893829
2017.03.07,Aichi,67,64,54.122322
2017.03.08,Aichi,74,64,59.77689
2017.03.09,Aichi,39,64,31.504036
2017.03.10,Aichi,76,64,61.392483
2017.03.11,Aichi,51,64,41.197586
2017.03.12,Aichi,56,59,43.52
2017.03.13,Aichi,59,59,45.851429
2017.03.14,Aichi,64,59,49.737144
2017.03.15,Aichi,38,59,29.531429
2017.03.16,Aichi,72,59,55.954288
2017.03.17,Aichi,68,59,52.845715
2017.03.18,Aichi,56,59,43.52
2017.03.19,Aichi,51,56,41.32085
2017.03.20,Aichi,81,56,65.627235
2017.03.21,Aichi,31,56,25.116596
2017.03.22,Aichi,54,56,43.751488
2017.03.23,Aichi,66,56,53.474045
2017.03.24,Aichi,52,56,42.131065
2017.03.25,Aichi,41,56,33.218727
2017.03.26,Aichi,24,54,23.040001
2017.03.27,Aichi,48,54,46.080002
2017.03.28,Aichi,41,54,39.360001
